	EntryID	Headword	Hypernym	Author
6074	d2e3453141Meyers-1905	Sphaerella [1]	Protococcus nivalis	Ag
6075	d2e3453349Meyers-1905	Sphaerococcus	Gracilaria lichenoïdes	Aq
6076	d2e3453349Meyers-1905	Sphaerococcus	Stackh lichenoïdes	Ag
6077	d2e3453349Meyers-1905	Sphaerococcus	Gelidium cartilagineum	Gail
6078	d2e3453349Meyers-1905	Sphaerococcus	Stackh cartilagineus	Ag
6079	d2e3453349Meyers-1905	Sphaerococcus	Eucheuma spinosum	Ag
6080	d2e3453349Meyers-1905	Sphaerococcus	Stackh spinosus	Ag
6081	d2e3453349Meyers-1905	Sphaerococcus	Chondrus crispus	Lyngb
6082	d2e3453349Meyers-1905	Sphaerococcus	Stackh crispus	
6083	d2e3453349Meyers-1905	Sphaerococcus	Gigartina mammillosa	Ag
6084	d2e3453349Meyers-1905	Sphaerococcus	Stackh mammillosus	Ag
6085	d2e3453655Meyers-1905	Sphaerophŏrus	Sphaerophŏrus compressus	Pers
6088	d2e3456986Meyers-1905	Spilanthes	Spilanthes oleracea	Jacq
6089	d2e3457381Meyers-1905	Spinacĭa	Spinacĭa oleracea inermis	
6090	d2e3457381Meyers-1905	Spinacĭa	oleracea spinosa	
6091	d2e3457912Meyers-1905	Spindelschnecke	Fusus antiquus	Lam
6092	d2e3457912Meyers-1905	Spindelschnecke	Neptunea antiqua	
6093	d2e3459046Meyers-1905	Spinnenfisch	Callionymus lyra	
6094	d2e3460751Meyers-1905	Spirillum	Spirillum undula	Ehrenb
6095	d2e3460751Meyers-1905	Spirillum	Spirillum volutans	Ehrenb
6096	d2e3461712Meyers-1905	Spirochaeta	Spirochaeta plicatilis	Ehrenb
6097	d2e3461712Meyers-1905	Spirochaeta	Spirochaeta Obermeieri	
6098	d2e3461712Meyers-1905	Spirochaeta	Spirochaeta anserina	Sakharoff
6099	d2e3461712Meyers-1905	Spirochaeta	Sakharoff dentium	
6100	d2e3461712Meyers-1905	Spirochaeta	Spirochaeta pallida	Schaud
6101	d2e3463063Meyers-1905	Spitzfrett	Helictis orientalis	
6102	d2e3463213Meyers-1905	Spitzhörnchen	Tupaiidae tana	Wagn
6103	d2e3463438Meyers-1905	Spitzmäuschen	Apion apricans	Herbst
6104	d2e3463467Meyers-1905	Spitzmäuse	Sorex vulgaris	L
6105	d2e3463467Meyers-1905	Spitzmäuse	pygmaeus	Pall
6106	d2e3463467Meyers-1905	Spitzmäuse	Crocidura aranea	Wagn
6107	d2e3463467Meyers-1905	Spitzmäuse	C. leucodon	Bonap
6108	d2e3463467Meyers-1905	Spitzmäuse	C. etrusca	Wagn
6109	d2e3463467Meyers-1905	Spitzmäuse	Crossopus fodiens	Wagn
6110	d2e3464650Meyers-1905	Spondĭas	Spondĭas purpurea	L
6111	d2e3464650Meyers-1905	Spondĭas	Spondĭas lueta	L
6112	d2e3464650Meyers-1905	Spondĭas	Spondĭas dulcis	Forst
6113	d2e3465446Meyers-1905	Sporenflügler	Parridae jacana	L
6114	d2e3465669Meyers-1905	Sporidesmĭum	Sporidesmĭum (Pleospora) Hesperidearum	Catt
6115	d2e3465669Meyers-1905	Sporidesmĭum	Sporidesmĭum exitiosum	
6116	d2e3465669Meyers-1905	Sporidesmĭum	Sporidesmĭum (Pleospora) putrefaciens	Fuckel
6117	d2e3465828Meyers-1905	Spornammern	Passerina [Calcarius] nivalis	L
6118	d2e3465828Meyers-1905	Spornammern	Calcarius [Plectrophanes] lapponicus	L
6119	d2e3466380Meyers-1905	Spottdrossel	Mimus polyglottus	
6120	d2e3467796Meyers-1905	Sprekelĭa	Sprekelĭa formosissima	Herb
6121	d2e3469524Meyers-1905	Springmäuse	Dipus	Schreb
6124	d2e3469524Meyers-1905	Springmäuse	Scirtetes acontion	
6125	d2e3469524Meyers-1905	Springmäuse	Jaculus hudsonius	Baird
6126	d2e3469524Meyers-1905	Springmäuse	Pedetes caffer	Ill
6127	d2e3469706Meyers-1905	Springschwänze	Degeeria nivalis	L
6128	d2e3469706Meyers-1905	Springschwänze	Poduridae villosa	L
6129	d2e3469706Meyers-1905	Springschwänze	Poduridae plumbea	L
6130	d2e3469706Meyers-1905	Springschwänze	Poduridae grisea	L
6131	d2e3469706Meyers-1905	Springschwänze	Sminthurus signatus	Latr
6132	d2e3471705Meyers-1905	Spulwürmer	Ascaris	L
6133	d2e3471705Meyers-1905	Spulwürmer	Ascaridae lumbricoides	L
6134	d2e3471705Meyers-1905	Spulwürmer	Ascaridae lumbricoides	L
6135	d2e3471705Meyers-1905	Spulwürmer	Ascaridae mystax	Zed
6136	d2e3471705Meyers-1905	Spulwürmer	Ascaridae megalocephala	Cloq
6137	d2e3476803Meyers-1905	Stachelbeerstrauch	Ribes Grossularia	L
6138	d2e3477337Meyers-1905	Stachelschnecke	Murex brandaris	L
6139	d2e3477337Meyers-1905	Stachelschnecke	Murex trunculus	L
6140	d2e3477337Meyers-1905	Stachelschnecke	Murex erinaceus	L
6141	d2e3477427Meyers-1905	Stachelschwein	Hystrix cristata	L
6142	d2e3477427Meyers-1905	Stachelschwein	Erethizon dorsatum	Cuv
6143	d2e3477427Meyers-1905	Stachelschwein	Cercolabes prehensilis	
6144	d2e3477592Meyers-1905	Stachys	Stachys Sieboldii	Miq
6145	d2e3477592Meyers-1905	Stachys	Stachys tuberifera	Naud
6146	d2e3477592Meyers-1905	Stachys	Stachys (Betonica) officinalis	L
6147	d2e3479591Meyers-1905	Staffelschwanz	Malurus malachurus	Vieill
6148	d2e3479591Meyers-1905	Staffelschwanz	Stipiturus malachurus	
6149	d2e3484454Meyers-1905	Stangeria	Lomaria coriacea leiopus	Kunze
6150	d2e3484454Meyers-1905	Stangeria	Stangeria paradoxa	Th. Moore
6151	d2e3484883Meyers-1905	Stanley [2]	How	I found Livingstone
6152	d2e3485607Meyers-1905	Stapelĭa	Stapelĭa grandiflora	Mass
6153	d2e3485607Meyers-1905	Stapelĭa	Stapelĭa hirsuta	L
6154	d2e3485806Meyers-1905	Staphylēa	Staphylēa pinnata	L
6155	d2e3485806Meyers-1905	Staphylēa	Staphylēa colchica	Stev
6156	d2e3485806Meyers-1905	Staphylēa	Hoibreghia formosa	hort
6157	d2e3485806Meyers-1905	Staphylēa	Staphylēa trifolia	L
6158	d2e3485924Meyers-1905	Staphylococcus pyogenes aurĕus	Staphylococcus pyogenes aurĕus pyogenes albus	Rosenbach
6159	d2e3485924Meyers-1905	Staphylococcus pyogenes aurĕus	Staphylococcus pyogenes aurĕus pyogenes citreus	Passet
6160	d2e3486246Meyers-1905	Star [3]	Sturnidae vulgaris	L
6161	d2e3486246Meyers-1905	Star [3]	Sturnus unicolor	Tem
6162	d2e3488119Meyers-1905	Statĭce	Statĭce Limonium	L
6163	d2e3488119Meyers-1905	Statĭce	Statĭce coriaria	Pall
6164	d2e3488119Meyers-1905	Statĭce	Statĭce tatarica	L
6165	d2e3488119Meyers-1905	Statĭce	Statĭce brasiliensis	L
6166	d2e3492765Meyers-1905	Steckmuschel	Pinna squamosa	L
6167	d2e3492765Meyers-1905	Steckmuschel	Pinna nobilis	L
6168	d2e3495775Meyers-1905	Steinbock [1]	Capra	L
6169	d2e3495775Meyers-1905	Steinbock [1]	C. hispanica	Schimp
6170	d2e3495775Meyers-1905	Steinbock [1]	C. caucasica	Güld
6171	d2e3495775Meyers-1905	Steinbock [1]	Capra Beden	Forsk
6172	d2e3495775Meyers-1905	Steinbock [1]	C. Ibex	
6173	d2e3496322Meyers-1905	Steindrossel	Monticola saxatilis	L
6174	d2e3496322Meyers-1905	Steindrossel	Monticola cyanus	L
6175	d2e3497533Meyers-1905	Steinhuhn	Caccabis saxatilis	Briss
6176	d2e3497533Meyers-1905	Steinhuhn	Caccabis rufa	
6177	d2e3497533Meyers-1905	Steinhuhn	Caccabis petrosa	
6178	d2e3500007Meyers-1905	Steinschmätzer	Saxicola oenanthe	L
6179	d2e3501466Meyers-1905	Steißfuß	Colymbidae cristatus	L
6180	d2e3501466Meyers-1905	Steißfuß	Colymbus nigricans	Scop
6181	d2e3501466Meyers-1905	Steißfuß	Colymbus auritus	L
6182	d2e3501852Meyers-1905	Stellarĭa	Stellarĭa Holostea	L
6183	d2e3501852Meyers-1905	Stellarĭa	Stellarĭa media	Vill
6184	d2e3505240Meyers-1905	Stephanōtĭs	Stephanōtĭs floribunda	A. Brongn
6185	d2e3505240Meyers-1905	Stephanōtĭs	Stephanōtĭs Thonarsii	A. Brongn
6186	d2e3506056Meyers-1905	Steppenhuhn	Syrrhaptes paradoxus	Ill
6187	d2e3506866Meyers-1905	Sterculĭa	Sterculĭa Chicha	S. Hil
6188	d2e3506866Meyers-1905	Sterculĭa	Sterculĭa urceolata	Sm
6189	d2e3506866Meyers-1905	Sterculĭa	Sm villosa	Roxb
6190	d2e3506866Meyers-1905	Sterculĭa	Sterculĭa ivira	
6191	d2e3506866Meyers-1905	Sterculĭa	Sw tragacantha	Lindl
6192	d2e3506981Meyers-1905	Stereocaulon	Schreb paschale	Ach
6193	d2e3507680Meyers-1905	Sterěum	Sterěum frustulosum	Fr
6194	d2e3507680Meyers-1905	Sterěum	Telephora Perdix	Hart
6195	d2e3509716Meyers-1905	Sternwürmer	Priapulus caudatus	Lam
6196	d2e3512147Meyers-1905	Stevĭa	Stevĭa purpurea	Pers
6197	d2e3512147Meyers-1905	Stevĭa	Stevĭa serrata	Cav
6198	d2e3512147Meyers-1905	Stevĭa	Stevĭa ivaefolia	Willd
6199	d2e3512953Meyers-1905	Stichling	Gasterosteidae aculeatus	L
6200	d2e3512953Meyers-1905	Stichling	Gasterosteus spinachia	L
6201	d2e3512953Meyers-1905	Stichling	Gasterosteus pungitius	L
6202	d2e3514804Meyers-1905	Stieglitz	C. carduelis major	Tacz
6203	d2e3516767Meyers-1905	Stillingĭa	Stillingĭa silvatica	L
6204	d2e3517905Meyers-1905	Stinkdachs	Mustelidae meliceps	F. Cuv
6205	d2e3518329Meyers-1905	Stinktier	Mustelidae varians	
6206	d2e3518329Meyers-1905	Stinktier	Mephitis Zorilla	v. d. Hoev
6207	d2e3518329Meyers-1905	Stinktier	Ictonyx Zorilla	
6208	d2e3518401Meyers-1905	Stint	Osmerus eperlanus	L
6209	d2e3518493Meyers-1905	Stipa	Stipa pennata	L
6210	d2e3518493Meyers-1905	Stipa	Stipa spartea	
6211	d2e3518493Meyers-1905	Stipa	Stipa tenacissima	L
6212	d2e3518493Meyers-1905	Stipa	Macrochloa tenacissima	
6213	d2e3518493Meyers-1905	Stipa	Stipa inebrians	Hance
6214	d2e3518493Meyers-1905	Stipa	Stipa viridula	Trin
6215	d2e3519957Meyers-1905	Stöcker [1]	Caranx trachurus	L
6216	d2e3523763Meyers-1905	Stör [2]	Acipenseridae sturio	L
6217	d2e3523763Meyers-1905	Stör [2]	Acipenser ruthenus	L
6218	d2e3523763Meyers-1905	Stör [2]	Acipenser stellatus	Pall
6219	d2e3523763Meyers-1905	Stör [2]	Acipenser Gueldenstaedtii	
6220	d2e3523763Meyers-1905	Stör [2]	Acipenser huso	L
6221	d2e3523959Meyers-1905	Storch [1]	Ciconiidae alba	Schäff
6222	d2e3523959Meyers-1905	Storch [1]	Ciconia nigra	L
6223	d2e3530231Meyers-1905	Strandläufer	Tringa canutus	L
6224	d2e3530231Meyers-1905	Strandläufer	Tringa minuta	Leisl
6225	d2e3530231Meyers-1905	Strandläufer	Tringa alpina	L
6226	d2e3532967Meyers-1905	Stratiōtes	Stratiōtes aloides	L
6227	d2e3533379Meyers-1905	Strauß [1]	Struthionidae camelus	L
6228	d2e3533379Meyers-1905	Strauß [1]	Struthio molydophanes	Rohb
6229	d2e3533379Meyers-1905	Strauß [1]	Struthio australis	Gurney
6230	d2e3533667Meyers-1905	Straußhuhn	Rhynchotus rufescens	Spix
6231	d2e3536163Meyers-1905	Streptocarpus	Streptocarpus Rhexii	Lindl
6232	d2e3536163Meyers-1905	Streptocarpus	Streptocarpus polyanthus	Hook
6233	d2e3536196Meyers-1905	Streptococcus	Streptococcus erysipelatos	Fehleisen
6234	d2e3536196Meyers-1905	Streptococcus	Streptococcus pyogenes	Rosenbach
6235	d2e3536196Meyers-1905	Streptococcus	Streptococcus equi	Kitt
6236	d2e3536196Meyers-1905	Streptococcus	Streptococcus mesenterioides	Migula
6237	d2e3536196Meyers-1905	Streptococcus	Streptococcus tyrogenus	Henrici
6238	d2e3536265Meyers-1905	Streptothrix	Streptothrix odorifera	Rullmann
6239	d2e3536265Meyers-1905	Streptothrix	Streptothrix chromogena	Gasperini
6240	d2e3536265Meyers-1905	Streptothrix	Streptothrix alba	Bayering
6241	d2e3536265Meyers-1905	Streptothrix	Streptothrix epiphytica	Miq
6242	d2e3536265Meyers-1905	Streptothrix	Streptothrix fluitans	Miq
6243	d2e3536265Meyers-1905	Streptothrix	Streptothrix Forsteri	
6244	d2e3540089Meyers-1905	Strongylīden	Eustrongylus gigas	Rud
6245	d2e3540089Meyers-1905	Strongylīden	Strongylus armatus	Dies
6246	d2e3540089Meyers-1905	Strongylīden	Sclerostomum equinum	Duj
6247	d2e3540089Meyers-1905	Strongylīden	Strongylidae contortus	Rud
6248	d2e3540089Meyers-1905	Strongylīden	Strongylidae paradoxus	Mehl
6249	d2e3540089Meyers-1905	Strongylīden	Strongylidae filaria	Rud
6250	d2e3540089Meyers-1905	Strongylīden	Strongylidae micrurus	Mehlis
6251	d2e3540089Meyers-1905	Strongylīden	Sclerostomum syngamus	Dies
6252	d2e3540089Meyers-1905	Strongylīden	Cucullanus elegans	Zed
6253	d2e3540481Meyers-1905	Strophanthus	Strophanthus hispidus	DC
6254	d2e3541511Meyers-1905	Struthanthus	Struthanthus syringifolius	Mart
6255	d2e3541558Meyers-1905	Struthioptĕris	Struthioptĕris germanica	Willd
6256	d2e3541558Meyers-1905	Struthioptĕris	Struthioptĕris orientalis	Hook
6257	d2e3541770Meyers-1905	Strychnos	Ignatia	L. fil
6258	d2e3541770Meyers-1905	Strychnos	Strychnos nux vomica	L
6259	d2e3541770Meyers-1905	Strychnos	Strychnos Tieuté	Lesch
6260	d2e3541770Meyers-1905	Strychnos	Strychnos toxifera	Schomb
6261	d2e3541770Meyers-1905	Strychnos	Schomb Gobleri	Planch
6262	d2e3541770Meyers-1905	Strychnos	Strychnos Castelnaei	Wedd
6263	d2e3541770Meyers-1905	Strychnos	Strychnos Schomburgkii	Kl
6264	d2e3541770Meyers-1905	Strychnos	Strychnos cogens	
6265	d2e3541770Meyers-1905	Strychnos	Strychnos Crevauxiana	Planch
6266	d2e3544848Meyers-1905	Stummelaffe	Catarrhini Guereza	Rüpp
6267	d2e3544848Meyers-1905	Stummelaffe	Colobus ursinus	Wagn
6268	d2e3544848Meyers-1905	Stummelaffe	Colobus Satanas	Wagn
6269	d2e3544848Meyers-1905	Stummelaffe	Colobus vellerosus	Wagn
6271	d2e3546629Meyers-1905	Sturmvogel	P. Leachi	Naum
6272	d2e3546629Meyers-1905	Sturmvogel	Hydrobates leucorhous	
6274	d2e3546629Meyers-1905	Sturmvogel	P. capensis	L
6275	d2e3546629Meyers-1905	Sturmvogel	P. gigantea	Gm
6276	d2e3551392Meyers-1905	Succīsa	Succīsa pratensis	
6277	d2e3551392Meyers-1905	Succīsa	Scabiosa succisa	L
6278	d2e3551392Meyers-1905	Succīsa	Succīsa australis	Mert
6279	d2e3560974Meyers-1905	Sumpfbiber	Myopotamus coypu	Geoffr
6280	d2e3561257Meyers-1905	Sumpfhuhn	Ortygometra Porzana	L
6281	d2e3561257Meyers-1905	Sumpfhuhn	Ortygometra parva	Scop
6282	d2e3561257Meyers-1905	Sumpfhuhn	Ortygometra pusilla	Pall
6283	d2e3561645Meyers-1905	Sumpfschnecke	Paludina vivipara	Lam
6284	d2e3566444Meyers-1905	Süßwasserpolyp	Cordylophora lacustris	Allm
6285	d2e3572057Meyers-1905	Symphoricarpus	Symphoricarpus racemosus	Mich
6286	d2e3572057Meyers-1905	Symphoricarpus	Symphoricarpus vulgaris	Mich
6287	d2e3572203Meyers-1905	Symphўtum	Symphўtum officinale	L
6288	d2e3572285Meyers-1905	Symplokazeen	Symplocos	L
6289	d2e3572285Meyers-1905	Symplokazeen	Symplocos racemosa	Roxb
6290	d2e3575226Meyers-1905	Syringa	Syringa vulgaris	L
6291	d2e3575226Meyers-1905	Syringa	Syringa dubia	Pers
6292	d2e3575226Meyers-1905	Syringa	Syringa chinensis	
6293	d2e3575226Meyers-1905	Syringa	Syringa Rothomagensis	Rich
6294	d2e3575226Meyers-1905	Syringa	Syringa Josikaea	Jacq
6295	d2e3575226Meyers-1905	Syringa	Syringa Emodi	Wall
6296	d2e3576371Meyers-1905	Syzygĭum	Syzygĭum Jambolana	DC
6297	d2e3576371Meyers-1905	Syzygĭum	Syzygĭum caryophyllaeum	Gärtn
6298	d2e3580190Meyers-1905	Tabernaemontāna	Tabernaemontāna utilis	Arn
6299	d2e3580190Meyers-1905	Tabernaemontāna	Tabernaemontāna grandiflora	L
6300	d2e3580190Meyers-1905	Tabernaemontāna	Tabernaemontāna crispa	Roxb
6301	d2e3580190Meyers-1905	Tabernaemontāna	Tabernaemontāna dichotoma	Roxb
6302	d2e3580998Meyers-1905	Tacca	Tacca pinnatifida	Forst
6303	d2e3583631Meyers-1905	Tagētes	Tagētes patula	L
6304	d2e3583631Meyers-1905	Tagētes	Tagētes erecta	L
6305	d2e3583631Meyers-1905	Tagētes	Tagētes signata	Bartl
6306	d2e3583631Meyers-1905	Tagētes	Tagētes lucida	Cav
6307	d2e3589043Meyers-1905	Tamarindus	Tamarindus indica	L
6308	d2e3589081Meyers-1905	Tamarix	Tamarix gallica	L
6309	d2e3589081Meyers-1905	Tamarix	Tamarix mannifera	Ehrenb
6310	d2e3589081Meyers-1905	Tamarix	Tamarix tetrandra	Pall
6311	d2e3589081Meyers-1905	Tamarix	Tamarix chinensis	Lour
6312	d2e3590807Meyers-1905	Tanekaha	Phyllocladus trichomanoides	Don
6313	d2e3591067Meyers-1905	Tangaren	Rhamphocelus brasiliensis	L
6314	d2e3591489Meyers-1905	Tanghinĭa	Tanghinĭa venenifera	Dupet. Thou
6315	d2e3592031Meyers-1905	Tanne	Abies pectinata	D. C
6316	d2e3592031Meyers-1905	Tanne	Abies pectinata excelsa	
6317	d2e3592031Meyers-1905	Tanne	P. Abies	Dur
6318	d2e3592031Meyers-1905	Tanne	P. pectinata	
6319	d2e3592031Meyers-1905	Tanne	Abies sibirica	Ledeb
6320	d2e3592031Meyers-1905	Tanne	Abies venusta	Dougl
6321	d2e3592031Meyers-1905	Tanne	Abies Fraseri	Lindl
6322	d2e3592031Meyers-1905	Tanne	Abies Nordmanniana	Link
6323	d2e3592031Meyers-1905	Tanne	Abies Pinsapo	Boiss
6324	d2e3592031Meyers-1905	Tanne	Abies nobilis	Lindl
6325	d2e3592031Meyers-1905	Tanne	Abies magnifica	Murr
6326	d2e3592282Meyers-1905	Tannenhäher	Nucifraga caryocatactes	L
6327	d2e3594444Meyers-1905	Taphrīna	Taphria	Fries
6328	d2e3594444Meyers-1905	Taphrīna	Taphrīna Pruni	Tul
6329	d2e3594444Meyers-1905	Taphrīna	Tul Cerasi	Sadeb
6330	d2e3594444Meyers-1905	Taphrīna	Taphrīna deformans	Tul
6331	d2e3594556Meyers-1905	Tapir	Tapirus indicus	Desm
6332	d2e3594556Meyers-1905	Tapir	Tapirus americanus	L
6333	d2e3595313Meyers-1905	Tarantel	Tarantula Apuliae	Walck
6334	d2e3595313Meyers-1905	Tarantel	Lycosa tarantula	
6335	d2e3595700Meyers-1905	Taraxăcum	Taraxăcum officinale	Wigg
6336	d2e3598504Meyers-1905	Taschenratten	Geomys bursarius	Rich
6337	d2e3601028Meyers-1905	Taubach	Rhinoceros Merckii	Jäg
6339	d2e3601162Meyers-1905	Tauben	Columba palumbus	L
6340	d2e3601162Meyers-1905	Tauben	Columbidae oenas	L
6341	d2e3601162Meyers-1905	Tauben	Columbidae livia	L
6342	d2e3601162Meyers-1905	Tauben	Turtur turtur	L
6343	d2e3601162Meyers-1905	Tauben	Columbidae risoria	L
6344	d2e3601162Meyers-1905	Tauben	Ectopistes migratorius	L
6345	d2e3601162Meyers-1905	Tauben	Phaps chalcoptera	Selby
6346	d2e3601162Meyers-1905	Tauben	Geotrygon cruenta	Lath
6347	d2e3601162Meyers-1905	Tauben	Ectopistes capensis	L
6348	d2e3602195Meyers-1905	Tauchente	Harelda glacialis	Leach
6349	d2e3602195Meyers-1905	Tauchente	Nyroca hiemalis	
6350	d2e3602195Meyers-1905	Tauchente	Harelda [Cosmonetta] histrionica	L
6351	d2e3605751Meyers-1905	Taxodĭum	Taxodĭum distichum	Rich
6352	d2e3605751Meyers-1905	Taxodĭum	Taxodĭum mexicanum	Carr
6353	d2e3605796Meyers-1905	Taxus	Taxus baccata	L
6354	d2e3607268Meyers-1905	Tecōma	C. grandiflora	K. Sch
6355	d2e3607308Meyers-1905	Tectōna	Tectōna grandis	L. fil
6356	d2e3607512Meyers-1905	Tee [1]	Thea sinensis	L
6357	d2e3609133Meyers-1905	Teichmuschel	Anodonta anatina	L
6358	d2e3609133Meyers-1905	Teichmuschel	Anodonta cellensis	Schröt
6359	d2e3609133Meyers-1905	Teichmuschel	Anodonta mutabilis	Cless
6360	d2e3610613Meyers-1905	Teju [1]	Tupinambis teguixin	
6361	d2e3613628Meyers-1905	Telfairĭa	Joliffia	Bojer
6362	d2e3613628Meyers-1905	Telfairĭa	Telfairĭa occidentalis	Hook
6363	d2e3613628Meyers-1905	Telfairĭa	Telfairĭa pedata	Hook
6364	d2e3614069Meyers-1905	Tellerschnecke	Planorbis corneus	Pfeiff
6365	d2e3614294Meyers-1905	Tellmuscheln	Tellina gari	L
6366	d2e3614294Meyers-1905	Tellmuscheln	Psammobia coerulescens	Lam
6367	d2e3620615Meyers-1905	Terminalĭa	Terminalĭa Catappa	L
6368	d2e3620615Meyers-1905	Terminalĭa	Terminalĭa Chebula	
6369	d2e3620615Meyers-1905	Terminalĭa	Terminalĭa mauritiana	Lam
6370	d2e3620969Meyers-1905	Termīten	Termes bellicosus	Smeathm
6371	d2e3620969Meyers-1905	Termīten	Termitidae fatale	
6372	d2e3620969Meyers-1905	Termīten	Termitidae dirus	Klug
6373	d2e3620969Meyers-1905	Termīten	Termitidae lucifugus	Rossi
6374	d2e3620969Meyers-1905	Termīten	Calotermes flavicollis	Fab
6375	d2e3625252Meyers-1905	Testudinarĭa	Testudinarĭa elephantipes	Burch
6376	d2e3626028Meyers-1905	Tetragastris	Hedwigia	Sw
6377	d2e3626028Meyers-1905	Tetragastris	Tetragastris balsamifera	O. Ktze
6378	d2e3626148Meyers-1905	Tetragonolŏbus	Tetragonolŏbus purpureus	Mönch
6379	d2e3626148Meyers-1905	Tetragonolŏbus	Tetragonolŏbus siliquosus	L
6380	d2e3626614Meyers-1905	Tetrapanax	Tetrapanax papyrifera	K. Koch
6381	d2e3626614Meyers-1905	Tetrapanax	Aralia papyrifera	L
6382	d2e3627191Meyers-1905	Teucrĭum	Teucrĭum marum	L
6383	d2e3627191Meyers-1905	Teucrĭum	Marum verum	L
6384	d2e3627191Meyers-1905	Teucrĭum	Teucrĭum Scordium	L
6385	d2e3627191Meyers-1905	Teucrĭum	Teucrĭum Chamaedrys	L
6386	d2e3628713Meyers-1905	Texasfieber	Rhipicephalus sanguineus	Latr
6387	d2e3630643Meyers-1905	Thapsĭa	Thapsĭa garganica	L
6388	d2e3632699Meyers-1905	Themĕda	Anthistirĭa	L. fil
6389	d2e3632699Meyers-1905	Themĕda	Themĕda Forskalii	Hack
6390	d2e3632699Meyers-1905	Themĕda	Hack	A. vulgaris
6391	d2e3632699Meyers-1905	Themĕda	A. ciliata	
6392	d2e3636998Meyers-1905	Thespesĭa	Thespesĭa populnea	Corr
6393	d2e3637531Meyers-1905	Thevetĭa	Thevetĭa Ahovai	
6394	d2e3637531Meyers-1905	Thevetĭa	Thevetĭa nereifolia	Juss
6395	d2e3643189Meyers-1905	Thuja	Thuja plicata	Don
6396	d2e3643189Meyers-1905	Thuja	Thuja (Biota) orientalis	
6396	d2e3643189Meyers-1905	Thuja	Thuja (Biota) orientalis	
6397	d2e3643626Meyers-1905	Thunbergĭa	Thunbergĭa alata	Bojer
6398	d2e3643715Meyers-1905	Thunfisch	Thynnus vulgaris	C. V
6399	d2e3643715Meyers-1905	Thunfisch	Thynnus Pelamys	L
6400	d2e3643715Meyers-1905	Thunfisch	Thynnus alalonga	C. V
6401	d2e3645266Meyers-1905	Thymus	Tourn Serpyllum	
6402	d2e3645266Meyers-1905	Thymus	Tourn vulgaris	L
6403	d2e3651173Meyers-1905	Tigerschlangen	Python molurus	
6404	d2e3651173Meyers-1905	Tigerschlangen	Pythonidae reticulatus	
6405	d2e3651173Meyers-1905	Tigerschlangen	Pythonidae sebae	
6406	d2e3652056Meyers-1905	Tillandsĭa	Tillandsĭa usneoides	L
6407	d2e3660387Meyers-1905	Todĕa	Todĕa barbara	
6408	d2e3660387Meyers-1905	Todĕa	Todĕa hymenophylloides	Rich
6409	d2e3662949Meyers-1905	Tölpel [3]	Sula bassana	L
6410	d2e3667053Meyers-1905	Tonwortsystem	sa pa	, 
6410	d2e3667053Meyers-1905	Tonwortsystem	sa pa	, 
6411	d2e3667152Meyers-1905	Toona	Toona serrata	Röm
6412	d2e3667152Meyers-1905	Toona	Toona sinensis	Röm
6413	d2e3667152Meyers-1905	Toona	Toona febrifuga	Röm
6414	d2e3672625Meyers-1905	Tosti	Storia della badia di Monte	Cassino
6415	d2e3673507Meyers-1905	Totenkäfer	Blaps mortisaga	L
6416	d2e3677766Meyers-1905	Trachycarpus	Trachycarpus excelsa	Wendl
6417	d2e3677827Meyers-1905	Trachylobĭum	verrucosum	Oliv
6418	d2e3677827Meyers-1905	Trachylobĭum	Trachylobĭum mossambicense	Klotzsch
6419	d2e3677827Meyers-1905	Trachylobĭum	Trachylobĭum Hornemannianum	
6420	d2e3678237Meyers-1905	Tradescantĭa	Tradescantĭa guianensis	Miq
6421	d2e3678237Meyers-1905	Tradescantĭa	Tradescantĭa zebrina	hort
6422	d2e3678237Meyers-1905	Tradescantĭa	Tradescantĭa discolor	Sm
6423	d2e3678237Meyers-1905	Tradescantĭa	Tradescantĭa virginica	
6424	d2e3679279Meyers-1905	Tragopān	Ceratornis satyra	L
6425	d2e3679279Meyers-1905	Tragopān	Ceratornis Temminckii	
6426	d2e3679330Meyers-1905	Tragopōgon	Tragopōgon porrifolius	L
6427	d2e3680297Meyers-1905	Tramētes	Tramētes radiciperda	Hart
6428	d2e3680297Meyers-1905	Tramētes	Polyporus annosus	Fr
6429	d2e3683289Meyers-1905	Trapa	Trapa natans	L
6430	d2e3683289Meyers-1905	Trapa	Trapa bicornis	L
6431	d2e3683289Meyers-1905	Trapa	Trapa bispinosa	Roxb
6432	d2e3683569Meyers-1905	Trappe	Otididae tarda	L
6433	d2e3683569Meyers-1905	Trappe	Otis tetrax	L
6434	d2e3684379Meyers-1905	Traubenkrankheit	Oïdium Tuckeri	Berk
6435	d2e3686774Meyers-1905	Treculĭa	Treculĭa africana	Dcne
6436	d2e3691611Meyers-1905	Tribŭlus	Tourn terrestris	L
6437	d2e3691611Meyers-1905	Tribŭlus	Tourn lanuginosus	L
6438	d2e3691984Meyers-1905	Trichilĭa	Trichilĭa emetica	Vahl
6439	d2e3692273Meyers-1905	Trichloris	Trichloris Blanchardiana	Hack
6441	d2e3692518Meyers-1905	Trichomōnas	Trichomōnas vaginalis	Donné
6442	d2e3692518Meyers-1905	Trichomōnas	Trichomōnas intestinalis	Lkt
6443	d2e3692518Meyers-1905	Trichomōnas	Trichomōnas pulmonalis	Lkt
