	EntryID	Headword	Origin language	Lemma synonym
3093	d2e202961Meyers-1905	Assumtion	ital	assunzione assunta
3103	d2e203901Meyers-1905	Asterismus	lat	aster
3147	d2e207267Meyers-1905	Astwucherung	lat	Polycladia
3151	d2e207471Meyers-1905	Asura	lat	h erus
3172	d2e208329Meyers-1905	Atavismus	lat	atāvus
3182	d2e208688Meyers-1905	Atem	althochd	âtum
3187	d2e208893Meyers-1905	Äternāt	lat	aeternum
3191	d2e209003Meyers-1905	Athabasca	franz	Rivière la Biche
3199	d2e209578Meyers-1905	Atheïsmus	griech	athĕos
3215	d2e211371Meyers-1905	Athlētik	griech	athlos
3243	d2e213467Meyers-1905	Atlas [2]	franz	Satin
3260	d2e214766Meyers-1905	Ätna	griech	aithō
3260	d2e214766Meyers-1905	Ätna	ital	monte
3260	d2e214766Meyers-1905	Ätna	arab	dschebel
3279	d2e215683Meyers-1905	Atresīe	lat	Imperforatio
3286	d2e216197Meyers-1905	Atschin	engl	Acheen
3291	d2e216369Meyers-1905	Attacke	franz	Attaque
3394	d2e221673Meyers-1905	Auferstehung	lat	Resurrectio mortuorum
3402	d2e222622Meyers-1905	Aufkantern	engl	canter
3403	d2e222639Meyers-1905	Aufkauf	franz	Accaparement
3410	d2e223608Meyers-1905	Aufpullen	engl	to pull
3412	d2e223814Meyers-1905	Aufruhrakte	engl	Riot Act
3414	d2e224194Meyers-1905	Aufschrift	griech	Epigraphe
3414	d2e224194Meyers-1905	Aufschrift	lat	Inscriptio
3416	d2e224337Meyers-1905	Auf Sicht	ital	a vista
3416	d2e224337Meyers-1905	Auf Sicht	franz	à vue
3461	d2e228247Meyers-1905	Augúst	lat	Augustus
3465	d2e229186Meyers-1905	Augustus [1]	griech	Sebastos
3470	d2e229467Meyers-1905	Aul [2]	lat	olla
3477	d2e229751Meyers-1905	Aulĭker	ungar	Aulikusok
3491	d2e230274Meyers-1905	Au pair	ital	al pari
3500	d2e230736Meyers-1905	Aureōle	lat	aurum
3505	d2e230998Meyers-1905	Auriflamma	lat	Auriflammeum
3530	d2e231952Meyers-1905	Ausdauernd	lat	perennis
3537	d2e233061Meyers-1905	Ausgang	franz	Sortie
3548	d2e234292Meyers-1905	Ausläufer	lat	Stolones
3558	d2e235210Meyers-1905	Auspizĭen	lat	Auspicia
3570	d2e236683Meyers-1905	Außenwerke	franz	les Dehors
3572	d2e237062Meyers-1905	Aussperrung	engl	Lock out
3573	d2e237179Meyers-1905	Ausspringender Winkel	franz	Saillant
3622	d2e241883Meyers-1905	Autodafé	portug	auto da fé
3622	d2e241883Meyers-1905	Autodafé	span	auto de fe
3622	d2e241883Meyers-1905	Autodafé	lat	actus fidei
3629	d2e242049Meyers-1905	Autograph	griech	autógraphon
3654	d2e242887Meyers-1905	Autorität	lat	Auctoritas
3681	d2e243732Meyers-1905	Aval	lat	ad vallem
3687	d2e243868Meyers-1905	Avance	ital	Avanzo
3753	d2e246360Meyers-1905	Avocatorĭum	lat	Literae avocatoriae
3753	d2e246360Meyers-1905	Avocatorĭum	franz	Décret de rappel
3813	d2e249354Meyers-1905	Azoren	portug	Açores
3813	d2e249354Meyers-1905	Azoren	engl	Azores
3821	d2e249944Meyers-1905	Azūr	neulat	azurum
3908	d2e257077Meyers-1905	Bader [1]	lat	Balneator
3923	d2e257836Meyers-1905	Bafel	ital	bavella
3938	d2e258953Meyers-1905	Bagler	lat	baculus
3990	d2e261461Meyers-1905	Bailli	engl	Bailiff
3990	d2e261461Meyers-1905	Bailli	lat	Bajŭlus
3990	d2e261461Meyers-1905	Bailli	ital	Baïlo
3990	d2e261461Meyers-1905	Bailli	griech	Bajŭlos
3997	d2e261763Meyers-1905	Baïlo	ital	Bálo
4009	d2e262434Meyers-1905	Baiazzo	ital	pagliaccio
4016	d2e262612Meyers-1905	Bajonett	franz	baïonnette
4024	d2e263072Meyers-1905	Bakel [1]	lat	Baculus
4036	d2e263524Meyers-1905	Bakkalaurĕus	franz	Bachelier
4036	d2e263524Meyers-1905	Bakkalaurĕus	engl	Bachelor
4070	d2e265717Meyers-1905	Baldăchin	franz	Baldaquin
4070	d2e265717Meyers-1905	Baldăchin	ital	Baldacchino
4098	d2e267594Meyers-1905	Balkenrecht	lat	Jus tigni immittendi
4099	d2e267645Meyers-1905	Balkon	span	balcon
4099	d2e267645Meyers-1905	Balkon	ital	balcone
4106	d2e268096Meyers-1905	Ballei	neulat	ballia balliva
4108	d2e268206Meyers-1905	Ballenblume	engl	Ball flower
4111	d2e268384Meyers-1905	Ballett	franz	Ballet
4111	d2e268384Meyers-1905	Ballett	ital	Balletto
4114	d2e268776Meyers-1905	Balliste	griech	ballein
4115	d2e268796Meyers-1905	Ballístik	griech	hallein
4131	d2e269566Meyers-1905	Balme [1]	provenzal	balma
4131	d2e269566Meyers-1905	Balme [1]	franz	baume baulmes balmaz
4152	d2e270860Meyers-1905	Baluster	franz	balustre
4152	d2e270860Meyers-1905	Baluster	griech	balaustion
4158	d2e271605Meyers-1905	Bambocciaden	franz	Bambochades
4168	d2e272114Meyers-1905	Banāl	franz	ban
4184	d2e273089Meyers-1905	Bande [2]	franz	Association de malfaiteurs
4184	d2e273089Meyers-1905	Bande [2]	ital	Associazione di malfattori
4190	d2e273428Meyers-1905	Banderĭen	neulat	banderium
4197	d2e273802Meyers-1905	Banditen	ital	Banditi
4223	d2e277036Meyers-1905	Bankett	franz	Banquet
4224	d2e277056Meyers-1905	Bankette	franz	banquette
4227	d2e277198Meyers-1905	Bankier	franz	Banquier
4227	d2e277198Meyers-1905	Bankier	engl	Banker
4227	d2e277198Meyers-1905	Bankier	ital	Banchiere
4231	d2e277823Meyers-1905	Bann [1]	mittellat	bannus
4231	d2e277823Meyers-1905	Bann [1]	franz	ban
4231	d2e277823Meyers-1905	Bann [1]	portug	bando
4252	d2e279156Meyers-1905	Baptisterĭum	griech	Baptisterion
4255	d2e279284Meyers-1905	Bar [6]	lat	Barensis ducatus
4260	d2e279835Meyers-1905	Bär [4]	franz	Batardeau
4263	d2e280075Meyers-1905	Baracke	span	barráca
4275	d2e280607Meyers-1905	Baratterie	ital	Baratteria
4277	d2e280671Meyers-1905	Barattieren	ital	barattare
4291	d2e281416Meyers-1905	Barbecue	franz	barbe à queue
4340	d2e284229Meyers-1905	Barett	franz	Barrette
4340	d2e284229Meyers-1905	Barett	ital	Berretta
4340	d2e284229Meyers-1905	Barett	neulat	Biretum
4342	d2e284480Meyers-1905	Barfüßer	lat	Discalceati
4355	d2e285221Meyers-1905	Barĭton	ital	Baritono
4355	d2e285221Meyers-1905	Barĭton	franz	Baryton
4386	d2e287068Meyers-1905	Baro...	griech	báros
4390	d2e287154Meyers-1905	Barock	ital	barocco
4390	d2e287154Meyers-1905	Barock	franz	baroque
4396	d2e287576Meyers-1905	Baron [1]	altfranz	ber
4399	d2e287661Meyers-1905	Baronesse	franz	baronne
4407	d2e288028Meyers-1905	Barouche	ital	Baroccio Biroccio
4407	d2e288028Meyers-1905	Barouche	lat	birotus
4407	d2e288028Meyers-1905	Barouche	franz	Birouche
4474	d2e292372Meyers-1905	Bary...	griech	barýs
4494	d2e293773Meyers-1905	Basamént	ital	Basamento
4495	d2e293790Meyers-1905	Basan [1]	lat	Batanaea
4510	d2e294318Meyers-1905	Base [1]	althochd	basa
4528	d2e296161Meyers-1905	Basken	span	Vascongados
4538	d2e296641Meyers-1905	Baß	ital	Basso
4538	d2e296641Meyers-1905	Baß	mittellat	Bassus
4538	d2e296641Meyers-1905	Baß	franz	Basse
4551	d2e297252Meyers-1905	Bassett	ital	Bassetto
4552	d2e297290Meyers-1905	Bassetthorn	ital	Corno di bassetto
4552	d2e297290Meyers-1905	Bassetthorn	franz	Cor de basset
4564	d2e297828Meyers-1905	Baßstimme	ital	Basso
4564	d2e297828Meyers-1905	Baßstimme	franz	Basse
4569	d2e298091Meyers-1905	Bastard	neulat	bastardus
4569	d2e298091Meyers-1905	Bastard	franz	bâtard
4569	d2e298091Meyers-1905	Bastard	ital	bastardo
4569	d2e298091Meyers-1905	Bastard	engl	bastard
4576	d2e298693Meyers-1905	Bastei [1]	lat	bastio
4651	d2e302534Meyers-1905	Batzen	lat	bacio bacius bacenus
4693	d2e306579Meyers-1905	Bauingenieur	franz	Ingénieur des ponts
4693	d2e306579Meyers-1905	Bauingenieur	engl	Civil engineer
4729	d2e310595Meyers-1905	Bausch	ital	staglio
4729	d2e310595Meyers-1905	Bausch	franz	en bloc
4758	d2e313713Meyers-1905	Bayou	franz	boyau
4775	d2e314860Meyers-1905	B dur	ital	Si
4775	d2e314860Meyers-1905	B dur	franz	Si bémol majeur
4775	d2e314860Meyers-1905	B dur	engl	B flat major
4787	d2e315507Meyers-1905	Beāten	lat	Beatae
4787	d2e315507Meyers-1905	Beāten	franz	Béates Dévotes
4805	d2e315920Meyers-1905	Beaucaire de Péguillon	lat	Belcarius Peguillio
4848	d2e317553Meyers-1905	Bebung	franz	Balancement
4852	d2e318160Meyers-1905	Becherhülle	lat	Cupula
4858	d2e318666Meyers-1905	Becken [2]	lat	Pelvis
4859	d2e318814Meyers-1905	Becken [3]	franz	Cymbales
4859	d2e318814Meyers-1905	Becken [3]	ital	Piatti Cinelli
