	EntryID	Headword	term	title translation
273	d2e131231Meyers-1905	Annan	Stadt 	royal burgh
274	d2e131248Meyers-1905	Anna Perenna	Jahres 	annus
275	d2e131317Meyers-1905	Annāten	Amtes 	beneficium
276	d2e131813Meyers-1905	Anniversārien	Totenopfer 	inferiae
277	d2e132271Meyers-1905	Annunziātenorden	Vetter 	cugino
278	d2e133705Meyers-1905	Anredeformen	Ihrzen 	gürzen, girzen
279	d2e133705Meyers-1905	Anredeformen	Ihr 	gij
280	d2e133705Meyers-1905	Anredeformen	Du 	tu
281	d2e133705Meyers-1905	Anredeformen	Du 	thou
282	d2e133705Meyers-1905	Anredeformen	Du 	du
283	d2e133705Meyers-1905	Anredeformen	Du 	du
284	d2e133705Meyers-1905	Anredeformen	Ihr 	j
285	d2e133705Meyers-1905	Anredeformen	Plural 	de
286	d2e134044Meyers-1905	Ansatz [2]	Hauch 	spiritus lenis
287	d2e134742Meyers-1905	Anschōvis	Heringsfische 	Clupeidae
288	d2e134742Meyers-1905	Anschōvis	Christiania 	Skarp sild
289	d2e135067Meyers-1905	Anselm von Canterbury	bringen 	fides praecedit intellectum; credo ut intellegam
290	d2e136032Meyers-1905	Anstruther	Hafenstadt 	royal burgh
291	d2e136301Meyers-1905	Antarktische Region	Scheidenschnabel 	Chionis
292	d2e136635Meyers-1905	Antejustinianisches Recht	Rechtsgelehrten 	responsa prudentium
293	d2e136635Meyers-1905	Antejustinianisches Recht	waren 	jus respondendi
294	d2e136957Meyers-1905	Antesignani	Feldzeichen 	signa
295	d2e138686Meyers-1905	Anthropophagie	Malawi 	Trophis anthropophagorum
296	d2e138686Meyers-1905	Anthropophagie	Borodina 	Solanum anthropophagorum
297	d2e139394Meyers-1905	Anti-Cornlaw-League	Zollskala 	sliding scale
298	d2e140361Meyers-1905	Antilopen	Horntiere 	Cavicornia
299	d2e140740Meyers-1905	Antimōn	Spießglanz 	stibium
300	d2e140740Meyers-1905	Antimōn	Mönche 	anti monachon
301	d2e140980Meyers-1905	Antimonchlorīd	bereitet 	Liquor stibii chlorati, Cauterium antimoniale
302	d2e141411Meyers-1905	Antimonoxyd	offizinell 	Flores antimonii, Stibium oxydatum
303	d2e141624Meyers-1905	Antimonpräparate	Brechweinstein 	Tartarus stibiatus
304	d2e141624Meyers-1905	Antimonpräparate	Schwefelantimon 	Stibium sulfuratum nigrum
305	d2e141624Meyers-1905	Antimonpräparate	Kermes 	Stibium sulfuratum rubeum, Pulvis Carthusianorum
306	d2e141624Meyers-1905	Antimonpräparate	Antimontrichlorid 	Liquor stibii chlorati
307	d2e141765Meyers-1905	Antimonsulfide	Goldschwefel 	Stibium sulfuratum aurantiacum, Sulfur auratum antimonii
308	d2e143094Meyers-1905	Antiquar	Franzosen 	antiquaire
309	d2e143094Meyers-1905	Antiquar	Engländern 	antiquary
310	d2e143094Meyers-1905	Antiquar	Italienern 	antiquario
311	d2e143230Meyers-1905	Antireuters	Naturallieferungen 	quarter sale
312	d2e143663Meyers-1905	Antisthĕnes	gleichgültig 	adiaphoron
313	d2e144819Meyers-1905	Antoniusorden	Antoniusfeuer 	sacer morbus
314	d2e144903Meyers-1905	Antrag	überhaupt 	judex ne procedat ex officio
315	d2e144903Meyers-1905	Antrag	Grenze 	judex ne eat ultra petita partium
316	d2e144979Meyers-1905	Antraigues [1]	Vulkan 	la coupe d'Aizac
317	d2e145031Meyers-1905	Antrieb	Produkt 	f t
318	d2e145277Meyers-1905	Antwerpen [2]	Museum 	Palais des beaux-arts
319	d2e145277Meyers-1905	Antwerpen [2]	Musikschule 	Conservatoire
320	d2e145654Meyers-1905	Anwachsung	Land 	alluvio
321	d2e145654Meyers-1905	Anwachsung	Landes 	avulsio
322	d2e145654Meyers-1905	Anwachsung	Insel 	insula in flumine nata
323	d2e145654Meyers-1905	Anwachsung	verläßt 	alveus derelictus
324	d2e145887Meyers-1905	Anwartschaft	Exspektanz 	spes succedendi
325	d2e146879Meyers-1905	Aórta	aufwärts 	A. ascendens
326	d2e146879Meyers-1905	Aórta	herab 	A. descendens
327	d2e147174Meyers-1905	Apanage	zurückzuführen 	ubi primogenitura, ibi apanagium
328	d2e149639Meyers-1905	Apis [2]	Stier 	hap
329	d2e149639Meyers-1905	Apis [2]	Knoten 	scarabaeus
330	d2e150042Meyers-1905	Apocrisiarĭus	Kultusminister 	archicapellanus
331	d2e150042Meyers-1905	Apocrisiarĭus	Kanzlei 	archicancellarius
332	d2e150086Meyers-1905	Apocўnum	Geweben 	Indian hemp
333	d2e150872Meyers-1905	Apollon	Heilgott 	medicus
334	d2e151639Meyers-1905	Aporti	Kleinkinderschulen 	asili d'infanzia
335	d2e152752Meyers-1905	Apothekergewicht	Gran 	granum
336	d2e153044Meyers-1905	Appalachen [1]	Tal 	Great Appalachian Valley
337	d2e153044Meyers-1905	Appalachen [1]	Stromdurchbrüchen 	Water Gaps
338	d2e153044Meyers-1905	Appalachen [1]	Weimutskiefer 	Pinus Strobus
339	d2e153044Meyers-1905	Appalachen [1]	Hemlocktanne 	Tsuga canadensis
340	d2e153044Meyers-1905	Appalachen [1]	Bergesche 	Sorbus americana
341	d2e153044Meyers-1905	Appalachen [1]	Gelbbirke 	Betula lutea
342	d2e153044Meyers-1905	Appalachen [1]	Balsamtannen 	Abies Fraseri
343	d2e153294Meyers-1905	Apparĭtor	Kanzlisten 	scribae
344	d2e154227Meyers-1905	Appoint	Punkt 	à point
345	d2e155124Meyers-1905	Aprikosenbaum	Öl 	Huile de marmotte
346	d2e156152Meyers-1905	Aquädukt	Quellhaus 	caput aquae
347	d2e156152Meyers-1905	Aquädukt	Hochbehälter 	castellum
348	d2e156152Meyers-1905	Aquädukt	Trevi 	Virgo Aqua
349	d2e156152Meyers-1905	Aquädukt	Termini 	Claudia Aqua
350	d2e156331Meyers-1905	Aquarellmalerei	Weiß 	Chinese white
351	d2e157049Meyers-1905	Aquĭla [2]	Bibelwerk 	Hexapla
352	d2e157618Meyers-1905	Aquitanĭen	Werghaupt 	Tête d'étoupes
353	d2e157986Meyers-1905	Ära	Herrn 	ab incarnatione domini
354	d2e157986Meyers-1905	Ära	Geburt 	nativitas
355	d2e158276Meyers-1905	Arabien	Ginstergestrüpp 	Alhagi Camelorum
356	d2e158276Meyers-1905	Arabien	Mannaflechte 	Lecanora esculenta
357	d2e158276Meyers-1905	Arabien	Kathstrauch 	Catha edulis
358	d2e158276Meyers-1905	Arabien	Euphorbie 	Euphorbia Schimperi
359	d2e158276Meyers-1905	Arabien	Myrrha 	Balsamodendron Myrrha
360	d2e158276Meyers-1905	Arabien	Weihrauchbaum 	Boswellia serrata
361	d2e160141Meyers-1905	Aragonĭen	hohen 	brazo de nobles
362	d2e160141Meyers-1905	Aragonĭen	Adels 	brazo de caballeros y hijos dalgo
363	d2e160141Meyers-1905	Aragonĭen	Stadtgemeinden 	brazo de universidades
364	d2e161208Meyers-1905	Arapaima	Knochenzüngler 	Osteoglossidae
365	d2e161851Meyers-1905	Arazeen	Kalmus 	Acorus Calamus
366	d2e163958Meyers-1905	Arbeitsschulen	Bevölkerung 	handaslöjd, hemslöjd
367	d2e164566Meyers-1905	Arbitrātor	Ermessen 	arbitrium
368	d2e164566Meyers-1905	Arbitrātor	Ermessen 	arbitrium boni viri
369	d2e164860Meyers-1905	Arbroath	Seestadt 	royal burgh
370	d2e166914Meyers-1905	Architektūr	Florenz 	Palazzo vecchio
