	EntryID	Headword	sogenannt
186	d2e2318454Meyers-1905	Martyrologĭum	M. Romanum
187	d2e2323080Meyers-1905	Massachusetts	Pilgrim Fathers
188	d2e2325968Meyers-1905	Massōra	M. finalis
189	d2e2329971Meyers-1905	Mathews	At home
190	d2e2346804Meyers-1905	Medusen	Scyphistoma
191	d2e2346804Meyers-1905	Medusen	Ephyrae
192	d2e2365649Meyers-1905	Menschenrassen	Rete Malpighii
193	d2e2366167Meyers-1905	Menschwerdung	unio mystica cum Deo
194	d2e2373477Meyers-1905	Mesenteriāldrüsen	Pancreas Aselli
195	d2e2375228Meyers-1905	Messe [1]	Confiteor
196	d2e2376057Meyers-1905	Messerscheide	frutti di mare
197	d2e2456196Meyers-1905	Moostierchen	Funiculus
198	d2e2487934Meyers-1905	Murray [3]	Society Papers
199	d2e2489493Meyers-1905	Muscheln	Glochidium
200	d2e2493306Meyers-1905	Muskeln	Platysma myoides
201	d2e2496761Meyers-1905	Mutterkuchen	Decidua
202	d2e2501491Meyers-1905	Mysterĭen [2]	officium
203	d2e2503669Meyers-1905	Nabonassar	Canon Ptolemaei
204	d2e2532803Meyers-1905	Nebenbahnen	light railways
205	d2e2542859Meyers-1905	Nero [2]	domus aurea
206	d2e2552519Meyers-1905	Neumen	Nota quadrata
207	d2e2572942Meyers-1905	Nießbrauch	quasiususfructus
208	d2e2577219Meyers-1905	Nîmes	Maison carrée
209	d2e2582780Meyers-1905	Nobility	County-Families
210	d2e2590364Meyers-1905	Nordische Sprache	Heimskringla
211	d2e2598080Meyers-1905	Norwegische Volkssprache	nynorske
212	d2e2603490Meyers-1905	Noxa	actio noxalis de pauperie
213	d2e2606782Meyers-1905	Nunzĭus	Legati missi
214	d2e2632833Meyers-1905	Okkupation	apprehensio ocullis
215	d2e2647633Meyers-1905	Operatismus	Opera operata
216	d2e2672525Meyers-1905	Österreich [2]	privilegium minus
217	d2e2680323Meyers-1905	Ôte-toi de là que je m'y mette	Légistes
218	d2e2686907Meyers-1905	Oxford [3]	Ancient House of Congregation
219	d2e2693289Meyers-1905	Päderastīe	Carolina
220	d2e2697747Meyers-1905	Paläontologie	vis plastica
221	d2e2702362Meyers-1905	Palma [5]	Sante conversazioni
222	d2e2715865Meyers-1905	Papiernautilus	Hectocotylus
223	d2e2780777Meyers-1905	Petinet	à jour
224	d2e2787369Meyers-1905	Pfandkehrung	furtum possessionis
225	d2e2808517Meyers-1905	Philologie	artes
226	d2e2826203Meyers-1905	Pĭëtismus	Collegia philobiblica
227	d2e2848816Meyers-1905	Plautus	fabulae Varronianae
228	d2e2853566Meyers-1905	Plurālis majestātis	Pluralis modestatis
229	d2e2990309Meyers-1905	Rat der Zehn	Inquisitori di Stato
230	d2e3001474Meyers-1905	Reccăred	Antiqua
231	d2e3006107Meyers-1905	Rede	Captatio benevolentiae
232	d2e3013655Meyers-1905	Regīno	Continuator Reginonis
233	d2e3029047Meyers-1905	Rektoskop	S romanum
234	d2e3069192Meyers-1905	Ringelwürmer	Trochophora
235	d2e3087711Meyers-1905	Rom [2]	Roma quadrata
236	d2e3087711Meyers-1905	Rom [2]	Anonymus Einsiedlensis
237	d2e3090106Meyers-1905	Roman [1]	Clef
238	d2e3091069Meyers-1905	Romanische Verskunst	vers mesurés
239	d2e3092263Meyers-1905	Römer [2]	Triduum
240	d2e3092901Meyers-1905	Römische Literatur	Saturae
241	d2e3092901Meyers-1905	Römische Literatur	Fabulae praetextae
242	d2e3092901Meyers-1905	Römische Literatur	Comoedia palliata
243	d2e3092901Meyers-1905	Römische Literatur	Auctor ad Herennium
244	d2e3092901Meyers-1905	Römische Literatur	Tabula Peutingeriana
245	d2e3094173Meyers-1905	Römisches Reich	Impluvium
246	d2e3139680Meyers-1905	Ruysch	Liquor balsamicus
247	d2e3148356Meyers-1905	Sachsen-Koburg-Gotha	Nexus Gothanus
248	d2e3163743Meyers-1905	Sakramentarĭum	Sacramentarium Leonianum
249	d2e3163743Meyers-1905	Sakramentarĭum	S. Gelasianum
250	d2e3163743Meyers-1905	Sakramentarĭum	S. Gregorianum
251	d2e3164062Meyers-1905	Säkularisation	Dominium eminens
252	d2e3167019Meyers-1905	Salĭer [2]	Axamenta
253	d2e3186810Meyers-1905	Sandwich [3]	Cinque Ports
254	d2e3187260Meyers-1905	San Francisco	Vigilance Committees
255	d2e3199569Meyers-1905	Saepta	S. Julia
256	d2e3201154Meyers-1905	Sardinische Monarchie	Corpus Carolinum
257	d2e3230039Meyers-1905	Schauspielkunst	Comédie larmoyante
258	d2e3245991Meyers-1905	Schild [1]	petit écu
259	d2e3255031Meyers-1905	Schlammvulkane	Argila scagliosa
260	d2e3294318Meyers-1905	Schülerbriefwechsel	Corresponding Societies
261	d2e3328244Meyers-1905	Scudéry	clef
262	d2e3337853Meyers-1905	Seerecht	Lex Rhodia de jactu
263	d2e3355946Meyers-1905	Senĕca [2]	Suasoriae
264	d2e3373908Meyers-1905	Sheriff	Bailiff
265	d2e3392502Meyers-1905	Simonīe	delicta mere ecclesiastica
266	d2e3400518Meyers-1905	Sixtīnische Kapelle	Saco di Roma
267	d2e3404983Meyers-1905	Sklaverei	peculium
268	d2e3462464Meyers-1905	Spitzen	Point d'Angleterre
269	d2e3526761Meyers-1905	Strafgesetzgebung	custodia honesta
270	d2e3527480Meyers-1905	Strafrecht	Custodia honesta
271	d2e3569859Meyers-1905	Sydenham [1]	Industrial courts
272	d2e3609133Meyers-1905	Teichmuschel	Glochidium
273	d2e3616531Meyers-1905	Tempo [1]	integer valor
274	d2e3641643Meyers-1905	Thorn	Colloquium charitativum
275	d2e3648611Meyers-1905	Tier [1]	Gastrula
276	d2e3666655Meyers-1905	Tonwaren	Flowing colours
277	d2e3672004Meyers-1905	Tory und Whig	Whigamore raid
278	d2e3685793Meyers-1905	Trauung	disparitas cultus
279	d2e3730875Meyers-1905	Übergabe	brevi manu traditio
280	d2e3730875Meyers-1905	Übergabe	constitutum possessorum
281	d2e3744419Meyers-1905	Ungehorsam	poena confessi
282	d2e3761772Meyers-1905	Utĭca	Massa candida
283	d2e3775919Meyers-1905	Velazquez	bodegones
284	d2e3783107Meyers-1905	Verbrecheralbum	portrait parlé
285	d2e3785738Meyers-1905	Vereinigte Staaten von Nordamerika	carpet-baggers
286	d2e3788771Meyers-1905	Vergilĭus der Zauberer	Sortes Virgilianae
287	d2e3802526Meyers-1905	Veterānen	vexillarii
288	d2e3805896Meyers-1905	Vidĕant consules, ne qui dres publica detrimenti capĭat	Senatus consultum ultimum
289	d2e3812080Meyers-1905	Villancīcos	Estribillo
290	d2e3828156Meyers-1905	Volksrecht	Ewa Chamavorum
291	d2e3838077Meyers-1905	Vulgāta	Itala
292	d2e3914339Meyers-1905	Wiertz	Peinture mate
293	d2e3941987Meyers-1905	Wolseley	Auxiliary Forces
294	d2e3981126Meyers-1905	Zetergeschrei	Clamor more patriae
295	d2e4004899Meyers-1905	Zuckersteuer	exercice
296	d2e4015928Meyers-1905	Zwölf Götter	ara Borghese
