	EntryID	Headword	group
383	d2e2842157Meyers-1905	Planēten	Asteroiden
384	d2e2850806Meyers-1905	Plessuralpen	Schieferalpen
385	d2e2857486Meyers-1905	Poëphăga	Beuteltiere
386	d2e2862083Meyers-1905	Polen [2]	Slawen
387	d2e2868963Meyers-1905	Polydōros	Laokoon
388	d2e2873503Meyers-1905	Pomorzy	Bespopowzy
389	d2e2877354Meyers-1905	Ponza	Ponzainseln
390	d2e2886867Meyers-1905	Port Victorĭa	Seychellen
391	d2e2903695Meyers-1905	Praxiteles	Niobe
392	d2e2926878Meyers-1905	Propylīt	Andesite
393	d2e2928617Meyers-1905	Proteïde	Eiweißkörper
394	d2e2930581Meyers-1905	Protozŏen	Rhizopoden
395	d2e2936245Meyers-1905	Pseudopezīza	Diszomyzeten
396	d2e2936557Meyers-1905	Pseudosuchĭer	Krokodile
397	d2e2937152Meyers-1905	Psyche [1]	kapitolinischen Museums
398	d2e2938892Meyers-1905	Pterogenéa	Insekten
399	d2e2939169Meyers-1905	Pterygŏta	Insekten
400	d2e2950525Meyers-1905	Puy de Dŏme	Mont
401	d2e2952282Meyers-1905	Pyrenäen	Tres
402	d2e2952735Meyers-1905	Pyrenomyzēten	Pilze
403	d2e2977368Meyers-1905	Raffaël	Stärke
404	d2e2977969Meyers-1905	Rafflesĭazeen	Apodantheen
405	d2e2988261Meyers-1905	Rasch [2]	Wollweber
406	d2e3012686Meyers-1905	Regenwurm	Oligochäten
407	d2e3012686Meyers-1905	Regenwurm	Regenwürmer
408	d2e3017557Meyers-1905	Reichenstein [1]	Ennstaler
409	d2e3026668Meyers-1905	Reiteralpe	Salzburger
410	d2e3030392Meyers-1905	Religionsgeschichte	Gegenwart
411	d2e3037001Meyers-1905	Reptilĭen	Sauropsiden
412	d2e3053874Meyers-1905	Rhizophăga	Beuteltiere
413	d2e3056267Meyers-1905	Rhynchobdellidae	Blutegel
414	d2e3063940Meyers-1905	Riesenkäfer	Blatthornkäfer
415	d2e3068635Meyers-1905	Ringelechsen	Eidechsen
416	d2e3073632Meyers-1905	Ritter [1]	Tagfalter
417	d2e3076687Meyers-1905	Roeber	Wuppertaler
418	d2e3078827Meyers-1905	Rochen	Fische
419	d2e3084108Meyers-1905	Röhrenherzen	Wirbeltiere
420	d2e3098292Meyers-1905	Rosa [3]	Laokoon
421	d2e3099301Meyers-1905	Rose [1]	Hundsrosen
422	d2e3099301Meyers-1905	Rose [1]	Zimtrosen
423	d2e3099301Meyers-1905	Rose [1]	Villoseen
424	d2e3101413Meyers-1905	Rosengarten [2]	Südtiroler
425	d2e3112712Meyers-1905	Rottenmann	Niedern
426	d2e3118689Meyers-1905	Rubus	Brombeersträucher
427	d2e3128599Meyers-1905	Rundmäuler	Wirbeltiere
428	d2e3133780Meyers-1905	Russisches Reich	Wolgafinnen
429	d2e3133780Meyers-1905	Russisches Reich	Nahrungsmittel
430	d2e3138299Meyers-1905	Rutazeen	Ruteen
431	d2e3151668Meyers-1905	Sadnig-Kreuzeckgruppe	Sadnig
432	d2e3155386Meyers-1905	Sáhara	nördlichen Tuat
433	d2e3172035Meyers-1905	Saltatorĭa	Geradflügler
434	d2e3180509Meyers-1905	Samoa [1]	Samoainseln
435	d2e3180742Meyers-1905	Samojēden	Mongoloiden
436	d2e3184010Meyers-1905	Sanday [1]	Orkneys
437	d2e3185391Meyers-1905	Sandkäfer	Blatthornkäfer
438	d2e3188280Meyers-1905	Sanguisorbeen	Rosazeen
439	d2e3188391Meyers-1905	Sanidinīt	Trachyte
440	d2e3193915Meyers-1905	Sansĭbar [2]	Suaheli
441	d2e3207167Meyers-1905	Saualpe	Norischen
442	d2e3215489Meyers-1905	Scandentĭa	Beuteltiere
443	d2e3219501Meyers-1905	Schadow	Perseus
444	d2e3224864Meyers-1905	Schan [2]	hinterindischen Volksstämme
445	d2e3251475Meyers-1905	Schizophyten	Pflanzenwelt
446	d2e3263693Meyers-1905	Schlöch	Berber
447	d2e3284915Meyers-1905	Schott [4]	Wohltätigkeit
448	d2e3289035Meyers-1905	Schreibmaschine	Typen
449	d2e3289329Meyers-1905	Schreivögel	Sperlingsvögel
450	d2e3334384Meyers-1905	Seegurken	Synaptiden
451	d2e3335797Meyers-1905	Seekühe	Wale
452	d2e3364254Meyers-1905	Sergel	Geschichte
453	d2e3369422Meyers-1905	Severĭaner	christlichen Gnostiker
454	d2e3379621Meyers-1905	Sidon	Phöniker
455	d2e3395351Meyers-1905	Singvögel	Sperlingsvögel
456	d2e3397880Meyers-1905	Sirenĭa	Wale
458	d2e3427841Meyers-1905	Sonnwendgebirge	Nordtiroler
460	d2e3436568Meyers-1905	Spaltfüßer	höhern Krebse
461	d2e3437196Meyers-1905	Spanĭen	fortgeschrittenern Liberalen
462	d2e3451317Meyers-1905	Sperrvögel	Vögel
463	d2e3454179Meyers-1905	Spiauter	Britanniametalls
