	EntryID	Headword	terms	origin
43747	d2e2980694Meyers-1905	Rakēten	['rocchetta']	['v. ital']
43764	d2e2981589Meyers-1905	Ramagemuster	['ramage']	['v. franz']
43791	d2e2984118Meyers-1905	Rancheros	['rancho']	['v. span']
43851	d2e2990045Meyers-1905	Rastrāl	['rastrum']	['v. lat']
43853	d2e2990362Meyers-1905	Rate	[]	['v. lat']
43867	d2e2991191Meyers-1905	Rationalismus	['ratio']	['v. lat']
43935	d2e2999121Meyers-1905	Reāl	['res']	['v. lat']
44027	d2e3006484Meyers-1905	Rederijkers	['rhétoricien']	['v. franz']
44035	d2e3006840Meyers-1905	Redingote	['riding coat']	['v. engl']
44045	d2e3007183Meyers-1905	Redoute	['reductus']	['v. mittellat']
44108	d2e3010471Meyers-1905	Regāl [2]	['rîga']	['v. altd']
44124	d2e3012810Meyers-1905	Regésten	['regerĕre']	['v. lat']
44168	d2e3015560Meyers-1905	Regulīnisch	['regulus']	['v. lat']
44237	d2e3028701Meyers-1905	Rekrūt	['la recrue']	['v. franz']
44281	d2e3031136Meyers-1905	Reluitionsrecht	['reluère']	['v. lat']
44298	d2e3031916Meyers-1905	Remonetisieren	['moneta']	['v. lat']
44412	d2e3037401Meyers-1905	Republik	['res publica']	['v. lat']
44587	d2e3046053Meyers-1905	Revier	['rivier', 'rivière']	['v. mittelhochdtsch']
44645	d2e3048368Meyers-1905	Rezitatīv	['recitare']	['v. lat']
44676	d2e3052344Meyers-1905	Rheumatismus	['rhein']	['v. griech']
44743	d2e3058227Meyers-1905	Richard [1]	['rîh', 'hart']	['v. altd']
44795	d2e3065838Meyers-1905	Rigolen	['rigole']	['v. franz']
44811	d2e3066623Meyers-1905	Rimesse	['rimessa']	['v. ital']
44871	d2e3072295Meyers-1905	Rips	['rib']	['v. engl']
44971	d2e3077969Meyers-1905	Robōt	['robota']	['v. slaw']
44985	d2e3078495Meyers-1905	Roche [1]	['roch', 'ruch']	['v. pers']
45320	d2e3112466Meyers-1905	Rotte [1]	['rupta']	['v. lat']
45353	d2e3114222Meyers-1905	Roulanz	['rouler']	['v. franz']
45423	d2e3118563Meyers-1905	Rubrīk	['rubrīca']	['v. lat']
45463	d2e3121814Meyers-1905	Ruderāten	['rudera']	['v. lat']
45487	d2e3123721Meyers-1905	Rüfi	['rovina']	['v. ital']
45504	d2e3125341Meyers-1905	Ruīn	['ruina']	['v. lat']
45566	d2e3129974Meyers-1905	Rupĭe	['rûpya']	['aus dem Sanskritwort']
45649	d2e3140338Meyers-1905	Ryn-Pesski	[]	['v. kirgis']
45659	d2e3141325Meyers-1905	Saâ	['saa']	['v. arab']
45712	d2e3145009Meyers-1905	Sabtije	['sabt']	['v. arab']
