	EntryID	Headword	genera
22624	d2e586139Meyers-1905	Cercis	Leguminosen
22657	d2e586793Meyers-1905	Cerĕus	Kakteen
22664	d2e587004Meyers-1905	Cerinthe	Borraginazeen
22683	d2e587363Meyers-1905	Ceropegĭa	Asklepiadazeen
22689	d2e587504Meyers-1905	Ceroxўlon	Palmen
22757	d2e589052Meyers-1905	Cestrum	Solanazeen
22763	d2e589165Meyers-1905	Ceterach	Polypodiazeen
22940	d2e593146Meyers-1905	Chamaecypăris	Koniferen
22942	d2e593354Meyers-1905	Chamaedorěa	Palmen
22950	d2e593559Meyers-1905	Chamaenerĭum	Onagrazeen
22953	d2e593622Meyers-1905	Chamaerops	Palmen
23026	d2e595652Meyers-1905	Chanchito	Knochenfische
23093	d2e597140Meyers-1905	Chara	Armleuchteralgen
23212	d2e599575Meyers-1905	Chaerophyllum	Umbelliferen
23327	d2e602292Meyers-1905	Chaetoderma	Solenogastren
23407	d2e603791Meyers-1905	Cheiranthus	Kruziferen
23425	d2e604219Meyers-1905	Chelidōnium	Papaverazeen
23434	d2e604407Meyers-1905	Chelōne [1]	Skrofulariazeen
23517	d2e607318Meyers-1905	Chenopodĭum	Chenopodiazeen
23769	d2e615407Meyers-1905	Chinchilla [2]	Nagetiere
23828	d2e617335Meyers-1905	Chiococca	Rubiazeen
23831	d2e617432Meyers-1905	Chionanthus	Oleazeen
23933	d2e619880Meyers-1905	Chloranthus	Chloranthazeen
23996	d2e621079Meyers-1905	Chlorophŏra	Morazeen
24000	d2e621226Meyers-1905	Chlorophytum	Liliazeen
24117	d2e623574Meyers-1905	Chondodéndron	Menispermazeen
24202	d2e625592Meyers-1905	Chorizēma	Leguminosen
24494	d2e633054Meyers-1905	Chrysanthĕmum	Kompositen
24508	d2e633533Meyers-1905	Chrysobalănus	Rosazeen
24527	d2e633956Meyers-1905	Chrysophyllum	Sapotazeen
24536	d2e634168Meyers-1905	Chrysosplenĭum	Saxifragazeen
24622	d2e636183Meyers-1905	Cicer	Leguminosen
24627	d2e636470Meyers-1905	Cichorĭum	Kompositen
24636	d2e636754Meyers-1905	Cicūta	Umbelliferen
24679	d2e637827Meyers-1905	Cimbex	Blattwespen
24692	d2e638063Meyers-1905	Cinchōna	Rubiazeen
24707	d2e638580Meyers-1905	Cinerarĭa	Kompositen
24720	d2e638806Meyers-1905	Cinnamōmum	Laurazeen
24787	d2e640376Meyers-1905	Cirsĭum	Kompositen
24801	d2e640706Meyers-1905	Cissampĕlos	Menispermazeen
24804	d2e640798Meyers-1905	Cissus	Ampelidazeen
24818	d2e641139Meyers-1905	Cistus	Cistazeen
24828	d2e641355Meyers-1905	Citharexўlon	Verbenazeen
24845	d2e641677Meyers-1905	Citrullus	Kukurbitazeen
24847	d2e641739Meyers-1905	Citrus	Rutazeen
24902	d2e643248Meyers-1905	Cladĭum	Cyperazeen
24974	d2e645179Meyers-1905	Clarkĭa	Onagrazeen
24991	d2e645516Meyers-1905	Clathrulīna	Sonnentierchen
25026	d2e646393Meyers-1905	Clavarĭa	Hymenomyzeten
25032	d2e646559Meyers-1905	Clavĭceps	Askomyzeten
25058	d2e647157Meyers-1905	Clematis	Ranunkulazeen
25074	d2e647975Meyers-1905	Cleōme	Kapparidazeen
25076	d2e648037Meyers-1905	Clepsine	Blutegel
25090	d2e648421Meyers-1905	Clerodendron	Verbenazeen
25096	d2e648592Meyers-1905	Clethra	Klethrazeen
25125	d2e649163Meyers-1905	Clione	Ruderschnecken
25138	d2e649473Meyers-1905	Clivĭa [1]	Amaryllidazeen
25187	d2e650508Meyers-1905	Clusĭa	Klusiazeen
25193	d2e650658Meyers-1905	Cluythĭa	Euphorbiazeen
25200	d2e650804Meyers-1905	Clymenĭa	Cephalopoden
25208	d2e650956Meyers-1905	Cneōrum	Kneorazeen
25210	d2e651003Meyers-1905	Cnicus	Kompositen
25239	d2e651509Meyers-1905	Cobaea	Polemoniazeen
25267	d2e652163Meyers-1905	Coccidĭŭm	Sporozoen
25273	d2e652280Meyers-1905	Coccolŏba	Polygonazeen
25295	d2e652785Meyers-1905	Cochlearĭa	Kruziferen
25317	d2e653291Meyers-1905	Cocos	Palmen
25341	d2e653999Meyers-1905	Codĭaeum	Euphorbiazeen
25406	d2e655376Meyers-1905	Coix	Gramineen
25415	d2e655561Meyers-1905	Cola [2]	Sterkuliazeen
25429	d2e655994Meyers-1905	Colchicum	Liliazeen
25461	d2e656882Meyers-1905	Colĕus	Labiaten
25504	d2e658043Meyers-1905	Collēma	Gallertflechten
25523	d2e658644Meyers-1905	Collinsĭa	Skrofulariazeen
25540	d2e659121Meyers-1905	Collozōum	Strahltiere
25553	d2e659445Meyers-1905	Colocasĭa	Arazeen
25558	d2e659557Meyers-1905	Coelogyne	Orchideen
25610	d2e660805Meyers-1905	Colubrīna	Rhamnazeen
25641	d2e661412Meyers-1905	Colutĕa	Leguminosen
25665	d2e661961Meyers-1905	Combrētum	Kombretazeen
25707	d2e662935Meyers-1905	Commelīna	Kommelinazeen
25723	d2e663247Meyers-1905	Commiphŏra	Burserazeen
25909	d2e667240Meyers-1905	Conferva	Ulotrichazeen
25959	d2e668336Meyers-1905	Conĭum	Umbelliferen
26142	d2e672294Meyers-1905	Convallarĭa	Liliazeen
26151	d2e672499Meyers-1905	Convolvŭlus	Konvolvulazeen
26186	d2e673531Meyers-1905	Copaïfĕra	Leguminosen
26191	d2e673710Meyers-1905	Copernicĭa	Palmen
26212	d2e674231Meyers-1905	Coprīnus	Hutpilze
26238	d2e674738Meyers-1905	Corallīna	Rhodophyzeen
26258	d2e675122Meyers-1905	Corchŏrus	Tiliazeen
26275	d2e675499Meyers-1905	Cordĭa	Borraginazeen
26291	d2e675978Meyers-1905	Cordўceps	Askomyzeten
26292	d2e676007Meyers-1905	Cordylĭne	Liliazeen
26293	d2e676071Meyers-1905	Cordylophora	Hydroidpolypen
26301	d2e676260Meyers-1905	Coreópsis	Kompositen
