	EntryID	Headword	meaning
319	d2e386280Meyers-1905	Bill of rights	Gesetz der Rechte
320	d2e388803Meyers-1905	Bio...	Leben
321	d2e393159Meyers-1905	Bischof [1]	Aufseher
322	d2e394225Meyers-1905	Biskuit	zweimal gebacken
323	d2e395828Meyers-1905	Bit	Bissen
324	d2e398320Meyers-1905	Blackfeet	Schwarzfüße
325	d2e399703Meyers-1905	Blanc, Kap	Weißes Vorgebirge
326	d2e408644Meyers-1905	Bleichsucht	gelblichgrün
327	d2e411551Meyers-1905	Bleuel	bleuen
328	d2e411551Meyers-1905	Bleuel	schlagen
329	d2e414680Meyers-1905	Bloomerismus	Frauenunterrocksreform
330	d2e416747Meyers-1905	Blümerant	blaßblau
331	d2e422197Meyers-1905	B'nē-B'rith	Bundesbrüder
332	d2e423361Meyers-1905	Boccāle	Krug
333	d2e428056Meyers-1905	Bodmerei	bodem
334	d2e432711Meyers-1905	Bohnen, springende	Springer
335	d2e434821Meyers-1905	Boitout	Trinke alles
336	d2e434821Meyers-1905	Boitout	trink aus
337	d2e435282Meyers-1905	Böjük-dere	großes Tal
338	d2e436491Meyers-1905	Bolivĭa	Argentinien
339	d2e436491Meyers-1905	Bolivĭa	Chile etc.
340	d2e438713Meyers-1905	Bombast	Baumwolle
341	d2e439330Meyers-1905	Bomhart	Donnerbüchse
342	d2e439546Meyers-1905	Bon [1]	gut
343	d2e439671Meyers-1905	Bona Dea	gute Göttin
344	d2e440914Meyers-1905	Bond [1]	Band
345	d2e441789Meyers-1905	Bonifatius [1]	Wohltäter
346	d2e441789Meyers-1905	Bonifatius [1]	bekennen
347	d2e442001Meyers-1905	Boni homĭnes	gute Leute
348	d2e445121Meyers-1905	Borâk	der Glänzende
349	d2e446592Meyers-1905	Bordun	Hummel
350	d2e446592Meyers-1905	Bordun	Brummbaß
351	d2e446707Meyers-1905	Borĕas	Bergwind
352	d2e453628Meyers-1905	Boß [2]	Meister
353	d2e457717Meyers-1905	Bougre	Ketzer
354	d2e459533Meyers-1905	Bourgeoisie	Bürgerschaft
355	d2e459533Meyers-1905	Bourgeoisie	Bürgerstand
356	d2e461530Meyers-1905	Box	Büchse
357	d2e462927Meyers-1905	Braccio	Arm
358	d2e463399Meyers-1905	Brachistochrōne	Linie des kürzesten Falles
359	d2e465799Meyers-1905	Brahmanismus	Brahmane
360	d2e465921Meyers-1905	Brahmaputra [2]	Sohn des Brahma
361	d2e466596Meyers-1905	Brakteāten	Blechmünzen
362	d2e467105Meyers-1905	Brancardier	Tragbahre
363	d2e470164Meyers-1905	Branka	nehmen
364	d2e470164Meyers-1905	Branka	ergreifen
365	d2e476307Meyers-1905	Bravo [1]	brav! herrlich!
366	d2e476307Meyers-1905	Bravo [1]	wacker!
367	d2e476972Meyers-1905	Breccien	Trümmer
368	d2e482179Meyers-1905	Brennus	Häuptling
369	d2e484797Meyers-1905	Brevi manu	mit kurzer Hand
370	d2e484837Meyers-1905	Brevis	kurz
371	d2e485552Meyers-1905	Bridge	Brücke
372	d2e485875Meyers-1905	Brief [1]	kurzes Schriftstück
373	d2e487291Meyers-1905	Brigade	streifen
374	d2e487906Meyers-1905	Brihaspati	Herr des Gebets
375	d2e490295Meyers-1905	Britannien	Germanien etc.
376	d2e491124Meyers-1905	Britschka	Frachtwagen
377	d2e493380Meyers-1905	Brom	übler Geruch
378	d2e496599Meyers-1905	Brosserie	Bürste
379	d2e502688Meyers-1905	Brühl [1]	Baumstück
380	d2e503911Meyers-1905	Brunst [1]	schreien
381	d2e503911Meyers-1905	Brunst [1]	brennen
382	d2e505827Meyers-1905	Brüsselbrunnen	knistern
383	d2e505827Meyers-1905	Brüsselbrunnen	brodeln
384	d2e507601Meyers-1905	Brutto	unrein
385	d2e507601Meyers-1905	Brutto	roh
386	d2e508833Meyers-1905	Bubbles	Seifenblasen
387	d2e515100Meyers-1905	Buck-eyes	Bocksaugen
388	d2e515100Meyers-1905	Buck-eyes	Roßkastanien
389	d2e515100Meyers-1905	Buck-eyes	Buckeye-State
390	d2e516812Meyers-1905	Budget	Lederbeutel
391	d2e517405Meyers-1905	Buenos Aires [1]	gute Lüfte
392	d2e518890Meyers-1905	Bugonīa	Stiererzeugung
393	d2e519926Meyers-1905	Bukanĭer	Leute
394	d2e519926Meyers-1905	Bukanĭer	die das Fleisch nach Art der Indianer an der Sonne dörren
395	d2e520192Meyers-1905	Bükkgebirge	Buche
396	d2e520348Meyers-1905	Bukowīna	Buchenland
397	d2e521704Meyers-1905	Bull	Stier
398	d2e526535Meyers-1905	Buren [1]	Bauern
399	d2e531320Meyers-1905	Bursa	Fell
400	d2e531320Meyers-1905	Bursa	Schlauch
401	d2e534307Meyers-1905	Bussŏle	Büchschen
402	d2e534589Meyers-1905	Büste	Brustbild
403	d2e535129Meyers-1905	Buticularĭus	Flasche
404	d2e536176Meyers-1905	Butter pits	Butterkerne
405	d2e536540Meyers-1905	Buttons	Knospen
406	d2e537787Meyers-1905	Bylaws	Ortschaft
407	d2e537787Meyers-1905	Bylaws	Ortsgesetz
408	d2e540007Meyers-1905	Cabinet noir	schwarzes Kabinett
409	d2e541931Meyers-1905	Cadre	Rahmen
410	d2e542113Meyers-1905	Cadus	Krug
411	d2e543197Meyers-1905	Ça ira	es wird gehen
412	d2e544939Meyers-1905	Cälatūr	Grabstichel
413	d2e551094Meyers-1905	Camēra lucĭda	helle Kammer
414	d2e551179Meyers-1905	Camĕra obscura	finstere Kammer
415	d2e551298Meyers-1905	Camerlengo	Kämmerling
416	d2e553818Meyers-1905	Camposanto	heiliges Feld
417	d2e554915Meyers-1905	Cancionēro	Liederbuch
418	d2e557148Meyers-1905	Cantabĭle	gesangartig
419	d2e557388Meyers-1905	Cantāte	singet
420	d2e557681Meyers-1905	Cantĭcum	Lied
421	d2e559008Meyers-1905	Capĭta aut navia	Köpfe oder Schiff
422	d2e559097Meyers-1905	Capitāno	Hauptmann
423	d2e559123Meyers-1905	Capitatio	Kopf
424	d2e559160Meyers-1905	Capĭte censi	nach dem Kopf Geschätzte
425	d2e560002Meyers-1905	Caprēra	Ziegeninsel
426	d2e560085Meyers-1905	Capriccio	Laune
427	d2e560085Meyers-1905	Capriccio	Grille
428	d2e561642Meyers-1905	Carbăsus	Baumwolle
429	d2e561711Meyers-1905	Carbonāri	Köhler
430	d2e562957Meyers-1905	Cäre	die runde
431	d2e563570Meyers-1905	Carĭco	Last
432	d2e563570Meyers-1905	Carĭco	Ladung
433	d2e565753Meyers-1905	Carniprivĭum	Fleischentziehung
434	d2e566268Meyers-1905	Carobe di Giuda	Judaskaroben
435	d2e567095Meyers-1905	Carpet-bagger	Reisetasche
436	d2e567790Meyers-1905	Carrefour	viergabelig
437	d2e573606Meyers-1905	Castelliēri	alte Burg
438	d2e576181Meyers-1905	Catch	Haschen
439	d2e582129Meyers-1905	Celĕres	Schnellen
440	d2e583593Meyers-1905	Cent [1]	Hundertstel
441	d2e584432Meyers-1905	Cento novelle antiche	Il Novellino
442	d2e584825Meyers-1905	Centumvĭri	Hundertmänner
443	d2e589208Meyers-1905	Ceterum censĕo	übrigens halte ich dafür
444	d2e589208Meyers-1905	Ceterum censĕo	daß Karthago zerstört werden muß
445	d2e589921Meyers-1905	Ceylon	Löwenwohnort
446	d2e591238Meyers-1905	Chain	Kette
447	d2e592888Meyers-1905	Chalwet	Einsamkeit
448	d2e592888Meyers-1905	Chalwet	abgesondertes Zimmer
449	d2e594155Meyers-1905	Chambre ardente	glühende Kammer
450	d2e595169Meyers-1905	Champion	Kämpe
451	d2e604045Meyers-1905	Chelicēren	Schere
452	d2e604045Meyers-1905	Chelicēren	Zange
453	d2e608427Meyers-1905	Chersonēsus	Halbinsel
454	d2e609715Meyers-1905	Chevron [1]	Sparren
455	d2e610790Meyers-1905	Chichen-Itza	Brunnen der Itza
456	d2e614892Meyers-1905	Chinarinden	Rinde
457	d2e616829Meyers-1905	Chinoïdīn	Chininähnliches
458	d2e617531Meyers-1905	Chīos	Mastixinsel
459	d2e617923Meyers-1905	Chirăgon	Handführer
460	d2e618424Meyers-1905	Chirurgīe	das Arbeiten mit der Hand
461	d2e618424Meyers-1905	Chirurgīe	Handwerk
462	d2e618896Meyers-1905	Chiusa	Klause
463	d2e618896Meyers-1905	Chiusa	Gebirgspaß
464	d2e619008Meyers-1905	Chiwa [1]	Land der Niederung
465	d2e619008Meyers-1905	Chiwa [1]	Zentralasien
466	d2e619379Meyers-1905	Chlodwig	berühmter Kämpfer
467	d2e624717Meyers-1905	Chorasān	Sonnenland
468	d2e626632Meyers-1905	Chrië	Gebrauch
469	d2e627424Meyers-1905	Christian [1]	Christ
470	d2e628017Meyers-1905	Christians	Christen
471	d2e628101Meyers-1905	Christian Science	christliche Wissenschaft
472	d2e628946Meyers-1905	Christmas	Christmesse
473	d2e630036Meyers-1905	Chromatisch	gefärbt
