	EntryID	Headword	authors
155	d2e2241880Meyers-1905	Maba [2]	['J. R. ', 'et  ', 'G. Forst.', '']
156	d2e2260572Meyers-1905	Mahmud	['', 'et ', '', '']
157	d2e2280233Meyers-1905	Mamillarĭa	['Lk. ', 'et  ', 'Otto ', '']
158	d2e2321429Meyers-1905	Masdevallĭa	['Ruiz  ', 'et  ', 'Pav.', '']
159	d2e2338131Meyers-1905	Maximilianēa	['Mart. ', 'et  ', 'Schrank ', 'Kunth)']
160	d2e2343401Meyers-1905	Medemĭa	['P. Guil. de Württ. ', 'et  ', 'Braun, ', '']
161	d2e2367207Meyers-1905	Mentzelĭa	['T. ', 'et  ', 'Gr. ', 'Lindl.']
162	d2e2367207Meyers-1905	Mentzelĭa	['Urb. ', 'et  ', 'Gilg. ', 'Nutt.']
163	d2e2389744Meyers-1905	Mey.	['F. ', 'et  ', 'M. ', '']
164	d2e2410429Meyers-1905	Mina [2]	['Llavé  ', 'et  ', 'Lex, ', '']
165	d2e2447444Meyers-1905	Montalivet	['', 'et ', '', '']
166	d2e2501133Meyers-1905	Myrtus	['Banks  ', 'et  ', 'Sol.', '']
167	d2e2519812Meyers-1905	Naregamĭa	['W. ', 'et  ', 'Arn.', '']
168	d2e2542374Meyers-1905	Nerĕocystis	['Post. ', 'et  ', 'Rupr.', '']
169	d2e2542374Meyers-1905	Nerĕocystis	['Post, ', 'et  ', 'Rupr. ', '']
170	d2e2543030Meyers-1905	Nertēra	['Banks  ', 'et  ', 'Soland.', '']
171	d2e2543030Meyers-1905	Nertēra	['Banks  ', 'et  ', 'Soland. ', '']
172	d2e2563510Meyers-1905	Nicotiana	['R. ', 'et  ', 'Pav. ', 'Ed. André) ']
173	d2e2639787Meyers-1905	Ollivier	['', 'et ', '', '']
174	d2e2651134Meyers-1905	Opuntĭa	['Big  ', 'et  ', 'Eng.', 'K. S.']
175	d2e2681802Meyers-1905	Ottern	['Dum. ', 'et  ', 'Bibr.', '']
176	d2e2681802Meyers-1905	Ottern	['Dum. ', 'et  ', 'Bibr.', '']
177	d2e2686160Meyers-1905	Oxălis	['Lk. ', 'et  ', 'Otto)', '']
178	d2e2713148Meyers-1905	Papageien	['Vig. ', 'et  ', 'Horsf.', '']
179	d2e2744287Meyers-1905	Paulownĭa	['Sieb. ', 'et  ', 'Zucc.', '']
180	d2e2745375Meyers-1905	Pav.	['R. ', 'et  ', 'P. ', '']
181	d2e2746465Meyers-1905	Payēna	['Benth. ', 'et  ', 'Hook. ', '']
182	d2e2761170Meyers-1905	Pepe	['', 'et ', '', '']
183	d2e2761253Meyers-1905	Peperomĭa	['Ruiz. ', 'et  ', 'Pav. ', 'Vahl) ']
184	d2e2761253Meyers-1905	Peperomĭa	['Ruiz. ', 'et  ', 'Pav. ', 'Willd.']
185	d2e2761253Meyers-1905	Peperomĭa	['Humb. ', 'et  ', 'Bonp. ', 'L.']
186	d2e2761253Meyers-1905	Peperomĭa	['Ruiz  ', 'et  ', 'Pav. ', '']
187	d2e2784917Meyers-1905	Peucedănum	['Bnth. ', 'et  ', 'Hook.', '']
188	d2e2811101Meyers-1905	Phoma	['B. ', 'et  ', 'C.', '']
189	d2e2819059Meyers-1905	Phyllostachys	['Sieb. ', 'et  ', 'Zucc.', '']
190	d2e2819059Meyers-1905	Phyllostachys	['Sieb. ', 'et  ', 'Zucc.', '']
191	d2e2834277Meyers-1905	Piper [1]	['Ruiz. ', 'et  ', 'Pav. ', 'Miq.']
192	d2e2834277Meyers-1905	Piper [1]	['Ruiz. ', 'et  ', 'Pav.', '']
193	d2e2843833Meyers-1905	Plantāgo	['W. ', 'et  ', 'Kit.', '']
194	d2e2844454Meyers-1905	Plasmodiophŏra	['Viala  ', 'et  ', 'Sauv ', '']
195	d2e2917335Meyers-1905	Pritchardĭa	['Seem. ', 'et  ', 'Wendl.', '']
196	d2e2938492Meyers-1905	Ptaeroxylon	['Eckl, ', 'et  ', 'Zeyh.', '']
197	d2e2939657Meyers-1905	Ptychosperma	['W. ', 'et  ', 'Dr. ', '']
198	d2e2939657Meyers-1905	Ptychosperma	['W, ', 'et  ', 'Dr.', '']
199	d2e2939657Meyers-1905	Ptychosperma	['W. ', 'et  ', 'Dr. ', '']
200	d2e2950492Meyers-1905	Puya	['R. ', 'et  ', 'P.', '']
201	d2e2955388Meyers-1905	Q. et G.	['', 'et  ', 'Gai. ', '']
202	d2e2960563Meyers-1905	Quebracho	['Hook. ', 'et  ', 'Arn. ', '']
203	d2e2974453Meyers-1905	Radetzky	['', 'et ', '', '']
204	d2e2983251Meyers-1905	Ramondĭa	['Benth. ', 'et  ', 'Hook. ', '']
205	d2e3042583Meyers-1905	R. et S.	['Röm. ', 'et  ', 'Schult. ', '']
206	d2e3053339Meyers-1905	Rhipsălis	['Otto  ', 'et  ', 'Dietr. ', '']
207	d2e3082989Meyers-1905	Rohdĕa	['R. ', 'et  ', 'K. ', '']
208	d2e3106827Meyers-1905	Rostpilze	['Erickss. ', 'et  ', 'Henn.', '']
209	d2e3106827Meyers-1905	Rostpilze	['Erickss, ', 'et  ', 'Henn.', '']
210	d2e3106827Meyers-1905	Rostpilze	['Alb. ', 'et  ', 'Schw. ', 'Strauß)']
211	d2e3106827Meyers-1905	Rostpilze	['Alb. ', 'et  ', 'Schw. ', '']
212	d2e3106827Meyers-1905	Rostpilze	['Alb. ', 'et  ', 'Schw.', '']
213	d2e3106827Meyers-1905	Rostpilze	['Alb. ', 'et  ', 'Schw. ', '']
214	d2e3106827Meyers-1905	Rostpilze	['Alb. ', 'et  ', 'Schw. ', '']
215	d2e3106827Meyers-1905	Rostpilze	['Alb. ', 'et  ', 'Schw.', '']
216	d2e3106827Meyers-1905	Rostpilze	['B. ', 'et  ', 'Br. ', '']
217	d2e3125586Meyers-1905	Ruiz [3]	['R. ', 'et  ', 'P.« ', '']
218	d2e3143571Meyers-1905	Sabal	['R. ', 'et  ', 'S. ', '(Chamaerops Palmetto, ']
219	d2e3154734Meyers-1905	Sagittarĭa	['Cham. ', 'et  ', 'Schlecht. ', '']
220	d2e3155386Meyers-1905	Sáhara	['', 'et ', '', '']
221	d2e3171621Meyers-1905	Salpiglossis	['R. ', 'et  ', 'P. ', '']
222	d2e3171621Meyers-1905	Salpiglossis	['R. ', 'et  ', 'P.', '']
223	d2e3173354Meyers-1905	Salvĭa	['Otto  ', 'et  ', 'Dieie. ', '']
224	d2e3200727Meyers-1905	Sarcostemma	['W. ', 'et  ', 'Arn. ', '']
225	d2e3295444Meyers-1905	Schult.	['Röm. ', 'et  ', 'Schult.', '']
226	d2e3303244Meyers-1905	Schwalm [2]	['Vig. ', 'et  ', 'Horsf.', '']
