ID	headword	compound
d3e107024DamenConvLex-1834	Perlen	Perlenmuscheln
d3e107024DamenConvLex-1834	Perlen	Perlenmasse
d3e107140DamenConvLex-1834	Persien	Persiens
d3e107228DamenConvLex-1834	Peru	Peruaner
d3e107228DamenConvLex-1834	Peru	Peru's
d3e107248DamenConvLex-1834	Perrücken	Perrückentragens
d3e107248DamenConvLex-1834	Perrücken	Zopfperrücken
d3e107248DamenConvLex-1834	Perrücken	Glasperrücken
d3e107326DamenConvLex-1834	Pest	Pestzeit
d3e107326DamenConvLex-1834	Pest	Pest-Kranken
d3e107447DamenConvLex-1834	Petersilie	Petersilienwurzel
d3e107447DamenConvLex-1834	Petersilie	Kräuterpetersilie
d3e107447DamenConvLex-1834	Petersilie	Hundspetersilie
d3e107447DamenConvLex-1834	Petersilie	Schnittpetersilie
d3e107447DamenConvLex-1834	Petersilie	Petersilienwurzeln
d3e107544DamenConvLex-1834	Pfau	Pfauenwedel
d3e107544DamenConvLex-1834	Pfau	Pfaufasan
d3e107579DamenConvLex-1834	Pfeffer	Pfefferstrauches
d3e107579DamenConvLex-1834	Pfeffer	Goapfeffer
d3e107681DamenConvLex-1834	Pfennig	Weißpfennige
d3e107729DamenConvLex-1834	Pflanzen	Pflanzenkörper
d3e107769DamenConvLex-1834	Pflicht	Pflichten
d3e107850DamenConvLex-1834	Pfund	Schiffspfund
d3e107897DamenConvLex-1834	Phaëthon (Mythologie)	Phaëthon's
d3e108100DamenConvLex-1834	Phasen	Mondphasen
d3e108264DamenConvLex-1834	Philosophie	Philosophien
d3e108359DamenConvLex-1834	Phönix (Mythologie)	Phönixmythe
d3e108376DamenConvLex-1834	Phönizien	Phöniziens
d3e108409DamenConvLex-1834	Phosphor	Phosphorsäure
d3e108609DamenConvLex-1834	Piano (Musik)	Pianozeichen
d3e108630DamenConvLex-1834	Pianoforte	Pianofortespiel
d3e108630DamenConvLex-1834	Pianoforte	Pianoforteschulen
d3e108651DamenConvLex-1834	Piaster	Goldpiaster
d3e108722DamenConvLex-1834	Picknick	Picknicks
d3e108798DamenConvLex-1834	Pietisten	Pietistengesellschaft
