	EntryID	headword	compound
944	d2e112010Herder-1854	Chits	Tschits
945	d2e112138Herder-1854	Chlor	Chlornatrium
946	d2e112138Herder-1854	Chlor	Chlorine
947	d2e112138Herder-1854	Chlor	hydrochloricum
948	d2e112290Herder-1854	Choc	Schock
949	d2e112564Herder-1854	Cholos	Tscholos
950	d2e112593Herder-1854	Cholula	Tscholula
951	d2e112613Herder-1854	Chond	Chondwana
952	d2e112712Herder-1854	Chor [2]	Choragos
953	d2e112748Herder-1854	Chorde	Chordentafeln
954	d2e113015Herder-1854	Chresmolog	Chresmologie
955	d2e113028Herder-1854	Chrestolog	Chrestologie
956	d2e113608Herder-1854	Chrom	Chromeisenstein
957	d2e113608Herder-1854	Chrom	Chromsäure
958	d2e113608Herder-1854	Chrom	Chromoxyd
959	d2e113970Herder-1854	Chuquisaca	Tschuquisaca
960	d2e113980Herder-1854	Chur	Churwalen
961	d2e113980Herder-1854	Chur	Churfirsten
962	d2e113980Herder-1854	Chur	Churwalchen
963	d2e114021Herder-1854	Churros	Tschurros
964	d2e114164Herder-1854	Cicade	Singcicade
965	d2e114164Herder-1854	Cicade	Mannacicade
969	d2e115138Herder-1854	Circumscript	Circumscription
970	d2e115138Herder-1854	Circumscript	Circumscriptionsbullen
971	d2e115154Herder-1854	Circumspect	Circumspection
972	d2e115362Herder-1854	Cis [1]	Cis-moll
973	d2e115362Herder-1854	Cis [1]	Cis-dur
975	d2e115829Herder-1854	Citta	Citta-San-Angelo
976	d2e115829Herder-1854	Citta	Citta-di-Castello
977	d2e115829Herder-1854	Citta	Citta-Vecchia
978	d2e116161Herder-1854	Clairet	Clairette
980	d2e116309Herder-1854	Claque	Claqueurs
981	d2e116453Herder-1854	Clarinette	Baßclarinette
982	d2e117621Herder-1854	Club	Jakobinerclub
983	d2e118492Herder-1854	Cod.	Codex
984	d2e118700Herder-1854	Cölestin [1]	Cölestiner
985	d2e118722Herder-1854	Cölestiner	Cölestinereremiten
986	d2e119296Herder-1854	Cola	Colatur
987	d2e119661Herder-1854	Collatio	Collationes
988	d2e119750Herder-1854	Collectiv	Collectivum
990	d2e120551Herder-1854	Colostrum	Colostrumkügelchen
991	d2e120855Herder-1854	Combat	Combattanten
992	d2e120855Herder-1854	Combat	Nichtcombattanten
993	d2e120879Herder-1854	Combination	Combinationen
994	d2e121152Herder-1854	Commandant	Commandantur
995	d2e121152Herder-1854	Commandant	Commandanten
996	d2e121187Herder-1854	Commando	Streifcommando
997	d2e121208Herder-1854	Commelin	Commelinae
998	d2e121263Herder-1854	Commende [1]	Commendenbrief
999	d2e121263Herder-1854	Commende [1]	Commendengeld
1000	d2e121319Herder-1854	Commentar	Commentarii
1001	d2e121345Herder-1854	Commerz	Commerzienrath
1002	d2e121345Herder-1854	Commerz	Commerzien
1003	d2e121377Herder-1854	Commilito	Commilitonen
1004	d2e121458Herder-1854	Commissar	Commissariat
1005	d2e121485Herder-1854	Commission	Commissionär
1006	d2e121576Herder-1854	Commodat	Commodatar
1008	d2e121724Herder-1854	Commun	Communal
1009	d2e122004Herder-1854	Compactat	Compactaten
1010	d2e122139Herder-1854	Comparse	Comparserie
1011	d2e122173Herder-1854	Compaß	Schiffscompaß
1012	d2e122173Herder-1854	Compaß	Grubencompaß
1013	d2e122173Herder-1854	Compaß	Azimuthalcompaß
1014	d2e122196Herder-1854	Compatibilität	Incompatibilität
1015	d2e122249Herder-1854	Compensatio	Compensationspendel
1018	d2e123358Herder-1854	Concent [2]	Concentus
1019	d2e123442Herder-1854	Concert	Concertino
1020	d2e123442Herder-1854	Concert	Concertante
1021	d2e123479Herder-1854	Concession	Concessionar
1022	d2e123532Herder-1854	Concierge	Conciergerie
1023	d2e123546Herder-1854	Concil	Apostelconcil
1024	d2e123620Herder-1854	Concinn	Concinnität
1025	d2e123649Herder-1854	Concis	Concision
1026	d2e123782Herder-1854	Concordanzen	Pariserconcordanzen
1027	d2e123782Herder-1854	Concordanzen	Realconcordanzen
1028	d2e123793Herder-1854	Concordat	Wienerconcordat
1029	d2e123793Herder-1854	Concordat	Calixtinerconcordat
1030	d2e123793Herder-1854	Concordat	Frankfurterconcordate
1031	d2e123793Herder-1854	Concordat	Zollconcordat
1032	d2e123793Herder-1854	Concordat	Konstanzerconcordat
1033	d2e123793Herder-1854	Concordat	Wormserconcordat
1034	d2e123793Herder-1854	Concordat	Aschaffenburgerconcordat
1035	d2e124224Herder-1854	Conditio	Conditional
1037	d2e124384Herder-1854	Conduct	Conducteur
1038	d2e124410Herder-1854	Conduite	Conduitenlisten
1039	d2e124491Herder-1854	Confer	Conferirung
1040	d2e124566Herder-1854	Confession	Confessionsverwandte
1041	d2e124871Herder-1854	Conform	Conformität
1042	d2e124871Herder-1854	Conform	Conformation
1043	d2e124887Herder-1854	Conformisten	Nonconformisten
1044	d2e124913Herder-1854	Confrater	Confraternität
1045	d2e125048Herder-1854	Congenial	Congenialität
1046	d2e125071Herder-1854	Congestion	Congestionen
1047	d2e125126Herder-1854	Congo	Congostrome
1048	d2e125146Herder-1854	Congregation	Congregationalisten
1049	d2e125473Herder-1854	Conjectur	Conjecturalkritik
1050	d2e125581Herder-1854	Conjunctur	Conjuncturen
1051	d2e125684Herder-1854	Connex	Connexion
1052	d2e125741Herder-1854	Connotation	Connotationstermin
1054	d2e126456Herder-1854	Constantin [2]	Constantinopel
1055	d2e126564Herder-1854	Constitution [3]	Constitutionen
