	EntryID	Headword	Results
346	d3e52897Brockhaus-1809	Marsyas	Apollo
347	d3e53249Brockhaus-1809	Die Mathematik	Analysis
348	d3e53249Brockhaus-1809	Die Mathematik	Algebra
349	d3e53743Brockhaus-1809	Das Mausoleum	Artemisia
350	d3e53832Brockhaus-1809	Mayenne	Departements von Frankreich
351	d3e53847Brockhaus-1809	Mayland	Mailand
352	d3e53861Brockhaus-1809	Julius Mazarini	Mazarini
353	d3e53942Brockhaus-1809	Mecca	Muhamed
354	d3e53967Brockhaus-1809	Medea	Jason
355	d3e54243Brockhaus-1809	Medina	Muhamed
356	d3e54389Brockhaus-1809	Megära	Furien
357	d3e54436Brockhaus-1809	Die Meistersänger	Minnesinger
358	d3e54714Brockhaus-1809	Die Melodie	Harmonie
359	d3e54896Brockhaus-1809	Moses Mendelssohn	Lavaters
360	d3e55459Brockhaus-1809	Mesmer	Magnetismus
361	d3e55690Brockhaus-1809	Meurthe	Departements von Frankreich
362	d3e55775Brockhaus-1809	Mezzotinto	Kupferstecherkunst
363	d3e56163Brockhaus-1809	Die Minnesinger	Minstrels
364	d3e56388Brockhaus-1809	Minotaurus	Labyrinth
365	d3e56782Brockhaus-1809	Mnemosyne	Musen
366	d3e56893Brockhaus-1809	Möllen	Eulenspiegel
367	d3e57229Brockhaus-1809	Der Groß-Mogul	Mongolen
368	d3e57507Brockhaus-1809	Die Mondsucht	Nachtwandler
369	d3e57752Brockhaus-1809	George Monk	Cromwell
370	d3e57766Brockhaus-1809	Das Monochord	Intervall
371	d3e57766Brockhaus-1809	Das Monochord	Trompeten-Geige
372	d3e57802Brockhaus-1809	Monodrama	Melodrama
373	d3e57922Brockhaus-1809	Montblanc	Departements von Frankreich
374	d3e58017Brockhaus-1809	Montenotte	Millesimo
375	d3e58031Brockhaus-1809	Monte Santo	Macedonien
376	d3e58136Brockhaus-1809	Montgolfier	der Aërostat
377	d3e58206Brockhaus-1809	Mont Terrible	Departements von Frankreich
378	d3e58281Brockhaus-1809	Die Morisko's	Mauren
379	d3e58534Brockhaus-1809	Der Kanzler Thomas Morus	Dissenters
380	d3e58651Brockhaus-1809	Mosel	Departements von Frankreich
