	EntryID	Headword	synonym
381	d3e56163Brockhaus-1809	Die Minnesinger	Kaiser aus dem Schwäbischen
382	d3e56907Brockhaus-1809	Das Mönchswesen	 Emirs
383	d3e56907Brockhaus-1809	Das Mönchswesen	Cönobien
384	d3e56907Brockhaus-1809	Das Mönchswesen	Tabenna
385	d3e56907Brockhaus-1809	Das Mönchswesen	Abbas
386	d3e56907Brockhaus-1809	Das Mönchswesen	Conventualen
387	d3e57243Brockhaus-1809	Die Moldau	Jasch
388	d3e57521Brockhaus-1809	Die Mongolen oder Mogolen	Patanen
389	d3e58491Brockhaus-1809	Morpheus	Phobetor
390	d3e58589Brockhaus-1809	Moschee	Medsched
391	d3e59606Brockhaus-1809	Der Münzfuß	Preußische
392	d3e60183Brockhaus-1809	Der Nabob	Duans
393	d3e62580Brockhaus-1809	Das Fürstenthum Neufchatel	Neufchatel
394	d3e62804Brockhaus-1809	Die Niederlande	Batavischen
395	d3e64498Brockhaus-1809	Die freie Reichsstadt Nürnberg	Patricier
396	d3e65397Brockhaus-1809	Das Haus Oestreich	Burgundischen Kreis
397	d3e66182Brockhaus-1809	Die Oper	Deutsche komische Oper
398	d3e66697Brockhaus-1809	Die Ordalien	Ordalien
399	d3e67636Brockhaus-1809	Ossian	Kaledonischen
400	d3e67636Brockhaus-1809	Ossian	erschütternden
401	d3e67636Brockhaus-1809	Ossian	Galischen
402	d3e67928Brockhaus-1809	Ostindien	Hindostan
403	d3e67928Brockhaus-1809	Ostindien	 Cambaya
404	d3e67928Brockhaus-1809	Ostindien	Dschaten
405	d3e67928Brockhaus-1809	Ostindien	Allahabad
406	d3e67928Brockhaus-1809	Ostindien	Nizam von Golconda
407	d3e67928Brockhaus-1809	Ostindien	 Carnatic
408	d3e67928Brockhaus-1809	Ostindien	Condavir
409	d3e67928Brockhaus-1809	Ostindien	Brama
410	d3e67928Brockhaus-1809	Ostindien	Wischnu
411	d3e67928Brockhaus-1809	Ostindien	 Parias
412	d3e67928Brockhaus-1809	Ostindien	Barmanen
413	d3e67928Brockhaus-1809	Ostindien	Ascham
414	d3e67928Brockhaus-1809	Ostindien	Laos
415	d3e67928Brockhaus-1809	Ostindien	Cambodia
416	d3e67928Brockhaus-1809	Ostindien	Malacca
417	d3e67928Brockhaus-1809	Ostindien	Maldiva
418	d3e67928Brockhaus-1809	Ostindien	Jolo-
419	d3e67928Brockhaus-1809	Ostindien	Philippinischen
420	d3e67928Brockhaus-1809	Ostindien	Palaos-
421	d3e67928Brockhaus-1809	Ostindien	Marien-
422	d3e67928Brockhaus-1809	Ostindien	Diebs-
423	d3e71310Brockhaus-1809	Die Parther	Ardschir
424	d3e71310Brockhaus-1809	Die Parther	zweite
425	d3e71646Brockhaus-1809	Die Passagen	Passagen
426	d3e72317Brockhaus-1809	Pegu	Barmans
427	d3e72317Brockhaus-1809	Pegu	Rangon
428	d3e73128Brockhaus-1809	Persien oder Irak	Afghanen
429	d3e75579Brockhaus-1809	Die Philippinen	Carolinischen
430	d3e75713Brockhaus-1809	Die Philosophie	Moral
431	d3e75713Brockhaus-1809	Die Philosophie	Kosmologie
432	d3e75713Brockhaus-1809	Die Philosophie	theoretisch
433	d3e76759Brockhaus-1809	Der Phosphorus	auslöschen
434	d3e77013Brockhaus-1809	Die Physik	Erfahrungs-
435	d3e77013Brockhaus-1809	Die Physik	reine
436	d3e77013Brockhaus-1809	Die Physik	Erfahrungs-
437	d3e77222Brockhaus-1809	Die Physiognomik	Leidenschaft
438	d3e77261Brockhaus-1809	Das physiokratische System	Physiokraten
439	d3e77261Brockhaus-1809	Das physiokratische System	 neues
440	d3e79181Brockhaus-1809	Pluto	Hades
441	d3e79905Brockhaus-1809	Marquis von Pombal	Minister
442	d3e79905Brockhaus-1809	Marquis von Pombal	Jesuit
443	d3e80957Brockhaus-1809	Nicolo Porpora	Anton Hubert
